AORKEY,Target RA,Target Dec,DateObs,Mission,Read Mode,Workable/Total Files in AOR,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
11641856,261.21782181705953,60.43077244194278,2004-07-18T23:10:42.504,CRYO,FULL,10/20,NO,--,--,2.0,53204.9657697,38.962000052024216,0.4615958375657712,1.1847334247457086,0
11642112,261.21782181705953,60.43077244194278,2004-07-28T18:17:53.508,CRYO,FULL,10/20,NO,--,--,2.0,53214.7624249,39.25488453467172,0.3622089984763224,0.9227106454902517,0
11854336,261.21782181705953,60.43077244194278,2004-08-11T22:29:22.542,CRYO,FULL,10/20,NO,--,--,2.0,53228.9370665,39.20727215930167,0.42827610253243936,1.092338433524082,0
11855104,261.21782181705953,60.43077244194278,2004-08-18T19:02:28.547,CRYO,FULL,10/20,NO,--,--,2.0,53235.793386,39.053770317907215,0.28596191807414983,0.7322261480680357,0
11951104,261.21782181705953,60.43077244194278,2004-09-13T17:36:58.600,CRYO,FULL,10/20,NO,--,--,2.0,53261.7340116,38.88216120143514,0.36047064345219604,0.9270848952678358,0
11953664,261.21782181705953,60.43077244194278,2004-09-02T11:04:23.497,CRYO,FULL,10/20,NO,--,--,2.0,53250.4613831,38.97746425865036,0.31221778796487276,0.8010212924397245,0
12170496,261.21782181705953,60.43077244194278,2004-10-04T21:27:42.807,CRYO,FULL,10/20,NO,--,--,2.0,53282.8942454,39.44237170011413,1.339112487659107,3.3951114751429414,0
12170752,261.21782181705953,60.43077244194278,2004-10-12T04:27:38.383,CRYO,FULL,10/20,NO,--,--,2.0,53290.1858609,38.89143866657609,0.5244589818137784,1.3485203936785877,0
12278272,261.21782181705953,60.43077244194278,2004-10-27T01:13:16.744,CRYO,FULL,10/20,NO,--,--,2.0,53305.0508882,38.87471779487382,0.5081013739144611,1.3070226685515938,0
12278528,261.21782181705953,60.43077244194278,2004-11-01T13:45:28.632,CRYO,FULL,10/20,NO,--,--,2.0,53310.5732481,39.2058901206346,0.3864311200697661,0.985645572338076,0
12840960,261.21782181705953,60.43077244194278,2004-11-17T18:25:12.506,CRYO,FULL,10/20,NO,--,--,2.0,53326.7675059,38.61156950608856,0.8957581472624365,2.319921616035802,0
12848128,261.21782181705953,60.43077244194278,2004-11-28T17:51:33.999,CRYO,FULL,10/20,NO,--,--,2.0,53337.7441435,39.22425474717797,0.4261700999720231,1.0864963597624102,0
12972544,261.21782181705953,60.43077244194278,2004-12-14T20:32:38.084,CRYO,FULL,10/20,NO,--,--,2.0,53353.8559963,39.12272012204319,0.41241962590013403,1.0541690981956071,0
12972800,261.21782181705953,60.43077244194278,2004-12-21T17:55:18.497,CRYO,FULL,10/20,NO,--,--,2.0,53360.7467419,39.17790242889252,0.27835482559426644,0.7104893532763208,0
13099008,261.21782181705953,60.43077244194278,2005-01-15T21:36:46.877,CRYO,FULL,10/20,NO,--,--,2.0,53385.9005426,37.76796224056238,3.2735242027669003,8.667463131625276,0
13099264,261.21782181705953,60.43077244194278,2005-01-22T17:41:13.850,CRYO,FULL,10/20,NO,--,--,2.0,53392.7369659,38.81253594895516,0.32214835815612264,0.8300111040922461,0
13227264,261.21782181705953,60.43077244194278,2005-02-18T22:07:57.847,CRYO,FULL,10/20,NO,--,--,2.0,53419.9221973,38.83125337153662,0.5291155717815167,1.3626023520769468,0
13227520,261.21782181705953,60.43077244194278,2005-02-25T16:27:12.060,CRYO,FULL,10/20,NO,--,--,2.0,53426.6855562,38.719250015900954,0.5060425516341784,1.3069533925020769,0
13401600,261.21782181705953,60.43077244194278,2005-03-24T19:36:22.802,CRYO,FULL,10/20,NO,--,--,2.0,53453.8169306,39.1863520730368,0.47940293968872427,1.2233926209696617,0
13401856,261.21782181705953,60.43077244194278,2005-03-31T05:59:17.733,CRYO,FULL,10/20,NO,--,--,2.0,53460.2495108,39.029216595187144,0.41104489256927357,1.053172285861257,0
13545984,261.21782181705953,60.43077244194278,2005-05-06T01:54:09.476,CRYO,FULL,10/20,NO,--,--,2.0,53496.0792763,38.62511726079128,1.2843381025887066,3.3251370964573104,0
13546240,261.21782181705953,60.43077244194278,2005-05-10T17:32:32.258,CRYO,FULL,10/20,NO,--,--,2.0,53500.7309289,38.92468837202498,0.5562206027862702,1.4289661036465067,0
15260928,261.21782181705953,60.43077244194278,2005-06-10T02:14:21.220,CRYO,FULL,10/20,NO,--,--,2.0,53531.0933012,38.99842418713673,0.3474914350552548,0.8910396824953549,0
15264000,261.21782181705953,60.43077244194278,2005-06-15T19:33:31.741,CRYO,FULL,10/20,NO,--,--,2.0,53536.8149507,39.147402979434666,1.109908773511102,2.835204097942771,0
15382016,261.21782181705953,60.43077244194278,2005-07-14T18:06:29.964,CRYO,FULL,10/20,NO,--,--,2.0,53565.7545135,39.277094334091984,1.1871362878233345,3.022464639887876,0
15384320,261.21782181705953,60.43077244194278,2005-07-26T15:14:22.799,CRYO,FULL,10/20,NO,--,--,2.0,53577.6349861,38.51541506246537,1.1866934874076192,3.0810871062482557,0
15761408,261.21782181705953,60.43077244194278,2005-08-18T10:04:01.956,CRYO,FULL,10/20,NO,--,--,2.0,53600.4194671,38.73640625446696,0.6636298563933726,1.713194177162072,0
15762688,261.21782181705953,60.43077244194278,2005-08-25T14:57:47.390,CRYO,FULL,10/20,NO,--,--,2.0,53607.6234652,38.89852669873393,0.25910147588760263,0.6660958598620546,0
15969536,261.21782181705953,60.43077244194278,2005-09-23T13:25:36.189,CRYO,FULL,10/20,NO,--,--,2.0,53636.5594466,33.031224279025864,17.166333565581933,51.97001909639236,0
15971840,261.21782181705953,60.43077244194278,2005-09-15T00:49:04.581,CRYO,FULL,10/20,NO,--,--,2.0,53628.0340808,38.97859645216265,0.5379426857634094,1.3800976297943708,0
16145664,261.21782181705953,60.43077244194278,2005-10-20T16:56:59.719,CRYO,FULL,10/20,NO,--,--,2.0,53663.7062468,38.869696392477955,0.5014607154231798,1.290107106471308,0
16221184,261.21782181705953,60.43077244194278,2005-11-02T13:47:32.592,CRYO,FULL,10/20,NO,--,--,2.0,53676.5746828,38.75537787572612,0.8320503714223179,2.1469288058302247,0
16368896,261.21782181705953,60.43077244194278,2005-11-23T18:05:32.824,CRYO,FULL,10/20,NO,--,--,2.0,53697.7538521,41.1026965399135,6.023354528668438,14.654402352457224,0
16408064,261.21782181705953,60.43077244194278,2005-11-29T23:47:30.535,CRYO,FULL,10/20,NO,--,--,2.0,53703.9913256,39.06042075104007,0.4533869559786341,1.1607323916667274,0
16578816,261.21782181705953,60.43077244194278,2005-12-22T16:04:06.230,CRYO,FULL,10/20,NO,--,--,2.0,53726.6695166,38.8787975679207,0.528863668616818,1.3602881305495644,0
16579072,261.21782181705953,60.43077244194278,2006-01-05T20:22:26.225,CRYO,FULL,10/20,NO,--,--,2.0,53740.8489146,39.61166611672192,3.4928109497155577,8.817632006246463,0
16744192,261.21782181705953,60.43077244194278,2006-02-04T02:58:46.455,CRYO,FULL,10/20,NO,--,--,2.0,53770.1241488,38.88874567857032,0.43143868381631106,1.1094178438726445,0
16744448,261.21782181705953,60.43077244194278,2006-02-13T23:27:32.980,CRYO,FULL,10/20,NO,--,--,2.0,53779.977465,39.16194007641822,0.8967908399720379,2.289955089615313,0
16965632,261.21782181705953,60.43077244194278,2006-03-22T23:54:02.409,CRYO,FULL,10/20,NO,--,--,2.0,53816.9958612,39.18555444511038,0.24945833899163597,0.6366079095322428,0
16967936,261.21782181705953,60.43077244194278,2006-03-29T18:50:18.980,CRYO,FULL,10/20,NO,--,--,2.0,53823.7849419,39.16825957638917,0.7115078423249619,1.816541888815153,0
17129216,261.21782181705953,60.43077244194278,2006-04-26T23:31:10.167,CRYO,FULL,10/20,NO,--,--,2.0,53851.9799788,39.16295425780886,0.5649068508779179,1.4424520866305146,0
17129472,261.21782181705953,60.43077244194278,2006-05-03T19:51:18.561,CRYO,FULL,10/20,NO,--,--,2.0,53858.8272982,39.6651180594216,2.9376173002984456,7.406047035830459,0
17250816,261.21782181705953,60.43077244194278,2006-06-01T00:35:01.592,CRYO,FULL,10/20,NO,--,--,2.0,53887.024324,38.65231785655146,0.8634811332099083,2.2339698654412015,0
17251072,261.21782181705953,60.43077244194278,2006-06-05T22:29:56.829,CRYO,FULL,10/20,NO,--,--,2.0,53891.9374633,39.066735920592784,0.3993373136197202,1.0221926767350489,0
19362816,261.21782181705953,60.43077244194278,2006-07-05T23:36:46.160,CRYO,FULL,10/20,NO,--,--,2.0,53921.9838676,38.6740332985562,0.36824264481775804,0.9521702636365715,0
19363072,261.21782181705953,60.43077244194278,2006-07-12T16:02:15.753,CRYO,FULL,10/20,NO,--,--,2.0,53928.6682379,38.87821353663012,0.528320673916757,1.358911909414217,0
19604992,261.21782181705953,60.43077244194278,2006-08-08T00:04:04.756,CRYO,FULL,10/20,NO,--,--,2.0,53955.0028328,38.81815117204224,0.37525172487156655,0.9666913893153979,0
19605248,261.21782181705953,60.43077244194278,2006-08-14T21:33:21.771,CRYO,FULL,10/20,NO,--,--,2.0,53961.8981686,38.86082126399944,0.42439106913274477,1.0920795169244133,0
20152320,261.21782181705953,60.43077244194278,2006-09-28T13:48:56.295,CRYO,FULL,10/20,NO,--,--,2.0,54006.5756516,38.86726434225291,0.41420854133910523,1.0657002707772665,0
20163840,261.21782181705953,60.43077244194278,2006-09-19T02:32:09.301,CRYO,FULL,10/20,NO,--,--,2.0,53997.1056632,38.137582682482424,2.2395719715820963,5.872349042748295,0
20602368,261.21782181705953,60.43077244194278,2006-10-25T23:52:45.788,CRYO,FULL,10/20,NO,--,--,2.0,54033.9949744,38.82882423319242,0.45483216293258816,1.1713776348236151,0
20602624,261.21782181705953,60.43077244194278,2006-10-31T22:33:42.426,CRYO,FULL,10/20,NO,--,--,2.0,54039.9400744,38.97591547716436,0.36328122213513525,0.9320659122118081,0
20792320,261.21782181705953,60.43077244194278,2006-11-22T02:54:09.508,CRYO,FULL,10/20,NO,--,--,2.0,54061.1209434,38.804149443944894,0.4494031784173587,1.158131758735108,0
20792576,261.21782181705953,60.43077244194278,2006-11-30T18:54:43.759,CRYO,FULL,10/20,NO,--,--,2.0,54069.7880065,38.93432526215047,0.2714980455597401,0.6973231043088696,0
20966144,261.21782181705953,60.43077244194278,2006-12-25T01:55:48.407,CRYO,FULL,10/20,NO,--,--,2.0,54094.0804214,38.993555687886996,0.4016137792611519,1.0299491087085184,0
20966400,261.21782181705953,60.43077244194278,2006-12-31T05:59:06.360,CRYO,FULL,10/20,NO,--,--,2.0,54100.2493792,38.96178728716903,0.32366535599172075,0.8307251246102635,0
21131776,261.21782181705953,60.43077244194278,2007-02-14T05:45:23.423,CRYO,FULL,10/20,NO,--,--,2.0,54145.2398544,38.702188542055,0.34361560845334566,0.8878454201109642,0
21132032,261.21782181705953,60.43077244194278,2007-02-22T00:07:40.709,CRYO,FULL,10/20,NO,--,--,2.0,54153.0053323,38.71008795048306,0.3190708565976932,0.8242576379724075,0
21366016,261.21782181705953,60.43077244194278,2007-03-28T18:15:15.367,CRYO,FULL,10/20,NO,--,--,2.0,54187.7605945,38.86417899153651,0.43191762349193014,1.1113514673396014,0
21366272,261.21782181705953,60.43077244194278,2007-04-05T01:32:25.132,CRYO,FULL,10/20,NO,--,--,2.0,54195.0641798,39.31658282079511,0.9594293224223257,2.4402663039038828,0
21530368,261.21782181705953,60.43077244194278,2007-05-06T04:24:12.694,CRYO,FULL,10/20,NO,--,--,2.0,54226.1834803,38.65595198677526,1.8573682057932663,4.804869910922639,0
21532672,261.21782181705953,60.43077244194278,2007-05-17T04:41:10.620,CRYO,FULL,10/20,NO,--,--,2.0,54237.1952618,38.922566242376945,0.45229396491319696,1.1620353141586073,0
23526656,261.21782181705953,60.43077244194278,2007-07-05T07:16:10.129,CRYO,FULL,10/20,NO,--,--,2.0,54286.302895,40.00237784032865,2.3765130992036827,5.940929583460377,0
23528960,261.21782181705953,60.43077244194278,2007-06-27T23:46:10.492,CRYO,FULL,10/20,NO,--,--,2.0,54278.9903992,38.81290585576697,0.15765382655184082,0.40618918649817093,0
23842048,261.21782181705953,60.43077244194278,2007-08-07T01:20:13.173,CRYO,FULL,10/20,NO,--,--,2.0,54319.055708,38.30197657097592,2.710035656626656,7.075445967141652,0
23844352,261.21782181705953,60.43077244194278,2007-08-16T08:47:22.003,CRYO,FULL,10/20,NO,--,--,2.0,54328.3662269,38.93798353271715,0.24722708724265605,0.6349252447418768,0
24042240,261.21782181705953,60.43077244194278,2007-09-07T14:00:53.966,CRYO,FULL,10/20,NO,--,--,2.0,54350.5839579,39.04455983645874,0.44888164277269293,1.1496650100625276,0
24044544,261.21782181705953,60.43077244194278,2007-09-14T17:12:27.299,CRYO,FULL,10/20,NO,--,--,2.0,54357.7169826,38.74237990670906,0.27823366416147266,0.7181635842492232,0
24266496,261.21782181705953,60.43077244194278,2007-10-16T02:30:27.904,CRYO,FULL,10/20,NO,--,--,2.0,54389.1044896,38.71369255748813,0.7261769718341564,1.8757626148831337,0
24268800,261.21782181705953,60.43077244194278,2007-10-23T13:46:18.811,CRYO,FULL,10/20,NO,--,--,2.0,54396.5738288,38.903973684686356,0.2912528602063889,0.7486455305747696,0
24290816,261.21782181705953,60.43077244194278,2007-10-19T20:56:14.030,CRYO,FULL,5372/5376,NO,--,--,2.0,54392.8723846,39.04107469459732,1.6213695048240049,4.152983793369748,2
24408320,261.21782181705953,60.43077244194278,2007-10-22T19:49:14.419,CRYO,FULL,8/20,YES,large,4,2.0,54395.8258613,10.414214776396262,74.5579526001934,715.9248604050152,0
24409856,261.21782181705953,60.43077244194278,2007-10-22T19:44:38.830,CRYO,FULL,10/20,YES,large,4,2.0,54395.8226716,38.59922111633415,0.8181773195162889,2.1196731329121516,0
24428032,261.21782181705953,60.43077244194278,2007-11-13T03:00:32.746,CRYO,FULL,10/20,YES,large,5,2.0,54417.125379,39.304031442022286,0.9720667235595748,2.473198519071711,0
24429568,261.21782181705953,60.43077244194278,2007-11-26T15:19:42.933,CRYO,FULL,10/20,YES,large,5,2.0,54430.6386914,39.0080759369704,0.480994527983361,1.2330639654223303,0
24599808,261.21782181705953,60.43077244194278,2007-12-22T07:03:33.952,CRYO,FULL,10/20,YES,large,2,2.0,54456.294143,38.46661214734088,0.6010858177480801,1.5626169922261581,0
24601344,261.21782181705953,60.43077244194278,2007-12-31T23:36:05.503,CRYO,FULL,8/20,YES,large,4,2.0,54465.983397,38.43677714694603,0.7318465226480918,1.9040267602307033,0
