AORKEY,Target RA,Target Dec,DateObs,Mission,Read Mode,Workable/Total Files in AOR,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
37651456,270.6280875362079,58.62726594883917,2009-07-29T06:29:22.768,WARM,FULL,5/10,NO,--,--,0.4,55041.2704024,626.7635534256098,11.037279528504335,1.7609957484253023,0
37808896,270.6280875362079,58.62726594883917,2009-08-06T00:00:45.762,WARM,FULL,5/10,NO,--,--,0.4,55049.0005297,620.1246055406579,6.2769273750622,1.0122042116986534,0
37815552,270.6280875362079,58.62726594883917,2009-08-14T07:50:19.349,WARM,FULL,5/10,NO,--,--,0.4,55057.3266128,612.7674928406343,11.019385947383274,1.7982980618472761,0
37817856,270.6280875362079,58.62726594883917,2009-08-20T16:29:09.340,WARM,FULL,5/10,NO,--,--,0.4,55063.6869137,620.740466119965,7.199275294076609,1.1597882991384145,0
37851136,270.6280875362079,58.62726594883917,2009-08-26T13:15:01.215,WARM,FULL,5/10,NO,--,--,0.4,55069.5520974,619.1915872028205,9.43736293367065,1.5241426286658148,0
37913344,270.6280875362079,58.62726594883917,2009-09-10T17:15:36.327,WARM,FULL,5/10,NO,--,--,0.4,55084.7191705,618.6066058307724,6.574625885588759,1.0628121044325431,0
37994240,270.6280875362079,58.62726594883917,2009-09-24T08:55:09.994,WARM,FULL,5/10,NO,--,--,0.4,55098.3716435,650.615613454245,4.664757699830782,0.7169759844933131,0
37994496,270.6280875362079,58.62726594883917,2009-10-01T22:50:27.750,WARM,FULL,5/10,NO,--,--,0.4,55105.9517101,652.6047408779946,6.804698533018953,1.0426982991058442,0
38051840,270.6280875362079,58.62726594883917,2009-10-08T08:22:49.371,WARM,FULL,5/10,NO,--,--,0.4,55112.3491825,652.8139303568755,9.670824083895688,1.4814059005464104,0
38067200,270.6280875362079,58.62726594883917,2009-10-21T23:24:26.955,WARM,FULL,5/10,NO,--,--,0.4,55125.975312,655.1674275809498,8.57765593003952,1.3092311322176802,0
38091008,270.6280875362079,58.62726594883917,2009-11-06T09:43:28.582,WARM,FULL,5/10,NO,--,--,0.4,55141.4051919,651.660542129933,9.885729407577356,1.5170059821738087,0
38157056,270.6280875362079,58.62726594883917,2009-11-20T01:45:24.111,WARM,FULL,5/10,NO,--,--,0.4,55155.0731957,650.7530567159968,4.4947504081285885,0.6906998533070584,0
38171136,270.6280875362079,58.62726594883917,2009-12-04T00:53:12.588,WARM,FULL,5/10,NO,--,--,0.4,55169.0369513,653.6127359101314,9.677043009112214,1.4805468861675855,0
38402304,270.6280875362079,58.62726594883917,2009-12-18T00:33:26.781,WARM,FULL,5/10,NO,--,--,0.4,55183.0232266,653.4540330238012,7.8320885298505205,1.198567632004384,0
38418432,270.6280875362079,58.62726594883917,2009-12-31T11:22:22.357,WARM,FULL,5/10,NO,--,--,0.4,55196.4738699,654.2747865645679,6.836301062042009,1.0448669584132537,0
38686208,270.6280875362079,58.62726594883917,2010-01-15T23:29:15.626,WARM,FULL,5/10,NO,--,--,0.4,55211.9786531,654.2847600340206,10.456449912842087,1.5981496974342468,0
38705152,270.6280875362079,58.62726594883917,2010-01-29T12:32:18.550,WARM,FULL,5/10,NO,--,--,0.4,55225.5224369,650.7152084550951,6.276456489784774,0.9645473792884163,0
38817280,270.6280875362079,58.62726594883917,2010-02-12T11:18:54.568,WARM,FULL,5/10,NO,--,--,0.4,55239.4714649,659.0207299696402,10.752399232969733,1.631572231948618,0
38924288,270.6280875362079,58.62726594883917,2010-02-26T12:15:26.770,WARM,FULL,5/10,NO,--,--,0.4,55253.5107265,654.7702055218167,6.6034115433856515,1.0085082503293024,0
39098624,270.6280875362079,58.62726594883917,2010-03-12T16:45:28.774,WARM,FULL,5/10,NO,--,--,0.4,55267.6982497,649.7158663896696,4.045086506801843,0.6225931543398366,0
39119616,270.6280875362079,58.62726594883917,2010-03-26T02:54:28.592,WARM,FULL,5/10,NO,--,--,0.4,55281.1211643,643.7916087307044,4.174441743592551,0.6484150596219878,0
39140608,270.6280875362079,58.62726594883917,2010-04-09T08:50:30.075,WARM,FULL,5/10,NO,--,--,0.4,55295.3684036,650.3287478305945,7.265265950387723,1.1171681975652517,0
39212032,270.6280875362079,58.62726594883917,2010-04-23T03:06:09.272,WARM,FULL,5/10,NO,--,--,0.4,55309.129274,650.773024610841,15.658793033789149,2.4061834835813958,0
39226368,270.6280875362079,58.62726594883917,2010-05-07T12:42:00.588,WARM,FULL,5/10,NO,--,--,0.4,55323.5291735,651.1003926332655,4.917497714169891,0.7552595221578507,0
39346176,270.6280875362079,58.62726594883917,2010-05-21T01:56:11.640,WARM,FULL,5/10,NO,--,--,0.4,55337.0806903,652.1118287352281,9.376710830033753,1.4378992094377276,0
39363584,270.6280875362079,58.62726594883917,2010-06-05T11:05:10.611,WARM,FULL,5/10,NO,--,--,0.4,55352.4619284,656.4557336906403,6.356901213866965,0.9683670790912311,0
39422976,270.6280875362079,58.62726594883917,2010-06-16T22:34:37.981,WARM,FULL,5/10,NO,--,--,0.4,55363.9407174,657.6016131569521,6.868887088276168,1.0445362284469861,0
39448576,270.6280875362079,58.62726594883917,2010-07-03T12:28:56.372,WARM,FULL,5/10,NO,--,--,0.4,55380.5200969,653.0571278648529,3.2426598973239273,0.496535411522984,0
39527680,270.6280875362079,58.62726594883917,2010-07-15T22:57:18.165,WARM,FULL,5/10,NO,--,--,0.4,55392.9564602,652.6890007301747,8.440448755682745,1.2931807869046767,0
39545088,270.6280875362079,58.62726594883917,2010-07-31T02:19:02.082,WARM,FULL,5/10,NO,--,--,0.4,55408.0965519,650.5921453161432,7.27894319585029,1.118818179446852,0
40253696,270.6280875362079,58.62726594883917,2010-08-12T19:25:36.735,WARM,FULL,5/10,NO,--,--,0.4,55420.8094529,650.5657784034206,10.582475806846718,1.6266573124730899,0
40270080,270.6280875362079,58.62726594883917,2010-08-27T05:50:37.434,WARM,FULL,5/10,NO,--,--,0.4,55435.2434888,651.3719042178043,6.435884562913925,0.988050685213759,0
40314368,270.6280875362079,58.62726594883917,2010-09-09T19:00:17.204,WARM,FULL,5/10,NO,--,--,0.4,55448.7918658,651.1234350113934,7.558283421308084,1.1608065406485988,0
41011456,270.6280875362079,58.62726594883917,2010-09-25T19:13:39.226,WARM,FULL,5/10,NO,--,--,0.4,55464.8011484,649.3342908593912,19.87721719764858,3.061168565630681,0
41089792,270.6280875362079,58.62726594883917,2010-10-07T18:22:14.538,WARM,FULL,5/10,NO,--,--,0.4,55476.765446,651.460800097398,6.538646973268501,1.0036900105564184,0
41167360,270.6280875362079,58.62726594883917,2010-10-23T07:25:36.242,WARM,FULL,5/10,NO,--,--,0.4,55492.3094473,654.6523848389054,6.64423088120414,1.0149250251091853,0
41221120,270.6280875362079,58.62726594883917,2010-11-04T20:15:29.531,WARM,FULL,5/10,NO,--,--,0.4,55504.8440918,651.2701769324342,5.368429036951519,0.8243013770778674,0
41242880,270.6280875362079,58.62726594883917,2010-11-20T09:01:04.761,WARM,FULL,5/10,NO,--,--,0.4,55520.3757495,651.0878576497713,3.184276428456055,0.4890701602008556,0
41395200,270.6280875362079,58.62726594883917,2010-12-03T12:13:53.827,WARM,FULL,5/10,NO,--,--,0.4,55533.5096508,655.4526209391687,6.656742773137904,1.0155948058609876,0
41422592,270.6280875362079,58.62726594883917,2010-12-19T00:41:16.990,WARM,FULL,5/10,NO,--,--,0.4,55549.0286689,652.5418309040714,7.446893709935402,1.1412132306702882,0
41588992,270.6280875362079,58.62726594883917,2011-01-02T14:24:49.028,WARM,FULL,10/10,NO,--,--,30.0,55563.6005675,194.58015445936675,134.39383600168588,69.06862438006272,0
41589248,270.6280875362079,58.62726594883917,2011-01-02T14:21:31.443,WARM,FULL,10/10,NO,--,--,12.0,55563.5982806,289.7548172821903,121.56415343703904,41.95414405091616,0
41589504,270.6280875362079,58.62726594883917,2011-01-02T14:16:22.646,WARM,FULL,10/10,NO,--,--,0.6,55563.5947066,373.98768820684427,93.63576970382357,25.03712626283989,0
41589760,270.6280875362079,58.62726594883917,2011-01-02T14:14:43.056,WARM,FULL,9/9,NO,--,--,2.0,55563.5935539,536.6037647392166,55.19155608174144,10.28534641544379,0
41590016,270.6280875362079,58.62726594883917,2011-01-02T14:13:00.248,WARM,FULL,9/9,NO,--,--,0.4,55563.592364,655.4951321281061,6.8967739294823245,1.0521472382398196,0
41593856,270.6280875362079,58.62726594883917,2010-12-31T04:56:35.113,WARM,FULL,5/10,NO,--,--,0.4,55561.205962,651.1526803089013,7.276901927471018,1.117541576273466,0
41611520,270.6280875362079,58.62726594883917,2011-01-18T17:22:30.995,WARM,FULL,5/10,NO,--,--,0.4,55579.7239698,648.6563271568659,6.044962871931639,0.9319207442911095,0
41667328,270.6280875362079,58.62726594883917,2011-01-28T05:28:36.391,WARM,FULL,5/10,NO,--,--,0.4,55589.228199,656.0351332519,10.831671197762315,1.6510809633122563,0
41857536,270.6280875362079,58.62726594883917,2011-02-13T00:10:16.237,WARM,FULL,5/10,NO,--,--,0.4,55605.0071324,652.6318406812154,3.483569013828976,0.5337724574076612,0
41876736,270.6280875362079,58.62726594883917,2011-02-25T03:51:52.002,WARM,FULL,5/10,NO,--,--,0.4,55617.1610185,650.0998491235054,4.077636819324107,0.6272323897354792,0
41919232,270.6280875362079,58.62726594883917,2011-03-12T16:53:42.805,WARM,FULL,5/10,NO,--,--,0.4,55632.7039676,651.3898069124344,7.964132798436156,1.2226370007516505,0
41983488,270.6280875362079,58.62726594883917,2011-03-25T12:42:34.700,WARM,FULL,5/10,NO,--,--,0.4,55645.5295683,652.0069054339608,7.505982184799259,1.1512120688052299,0
42001408,270.6280875362079,58.62726594883917,2011-04-08T12:02:54.909,WARM,FULL,5/10,NO,--,--,0.4,55659.5020244,647.2078273971408,2.556978778862628,0.3950784694842095,0
42029312,270.6280875362079,58.62726594883917,2011-04-24T11:30:03.406,WARM,FULL,5/10,NO,--,--,0.4,55675.4792061,657.7595667059365,8.06461697538515,1.2260736876504579,0
42072576,270.6280875362079,58.62726594883917,2011-05-20T12:30:59.084,WARM,FULL,5/10,NO,--,--,0.4,55701.5215172,655.1175592479038,7.377116168090352,1.126075169861043,0
42153472,270.6280875362079,58.62726594883917,2011-06-03T11:15:26.271,WARM,FULL,5/10,NO,--,--,0.4,55715.4690541,653.0631185493131,5.9847966824001615,0.9164193341211087,0
42543104,270.6280875362079,58.62726594883917,2011-06-17T13:16:24.878,WARM,FULL,5/10,NO,--,--,0.4,55729.5530657,652.064006841757,3.283040805715539,0.5034844388385737,0
42589440,270.6280875362079,58.62726594883917,2011-07-01T11:55:34.177,WARM,FULL,5/10,NO,--,--,0.4,55743.4969234,645.206019557057,7.128517101512784,1.10484355158475,0
42764800,270.6280875362079,58.62726594883917,2011-07-16T07:46:32.356,WARM,FULL,5/10,NO,--,--,0.4,55758.3239856,654.9745233855567,9.501679177689132,1.4506944680191602,0
43942912,270.6280875362079,58.62726594883917,2011-07-29T02:45:07.867,WARM,FULL,5/10,NO,--,--,0.4,55771.1146744,654.3573044726247,7.296067386400911,1.114997469506531,0
43982592,270.6280875362079,58.62726594883917,2011-08-12T03:27:02.884,WARM,FULL,5/10,NO,--,--,0.4,55785.1437834,648.53648645398,3.8044145889052134,0.5866153513901293,0
44145152,270.6280875362079,58.62726594883917,2011-08-26T02:43:13.933,WARM,FULL,5/10,NO,--,--,0.4,55799.1133557,649.5559185283497,3.883842497126239,0.5979227324916953,0
44224000,270.6280875362079,58.62726594883917,2011-09-08T12:08:07.034,WARM,FULL,5/10,NO,--,--,0.4,55812.505637,645.6943590681722,8.093374778466693,1.2534374297688726,0
44364544,270.6280875362079,58.62726594883917,2011-09-23T22:05:09.431,WARM,FULL,5/10,NO,--,--,0.4,55827.920248,654.3543139204064,3.3825410752879446,0.5169280622637396,0
44385280,270.6280875362079,58.62726594883917,2011-10-06T19:02:14.457,WARM,FULL,5/10,NO,--,--,0.4,55840.7932229,647.4985277629132,9.214558127890832,1.4231010161099265,0
44410880,270.6280875362079,58.62726594883917,2011-10-20T14:19:37.107,WARM,FULL,5/10,NO,--,--,0.4,55854.5969573,654.5368923301235,9.349132264199952,1.4283583360622254,0
44473600,270.6280875362079,58.62726594883917,2011-11-03T16:47:46.069,WARM,FULL,5/10,NO,--,--,0.4,55868.6998388,653.9976011177872,3.7001208876515945,0.5657697950768462,0
44606720,270.6280875362079,58.62726594883917,2011-11-17T13:19:00.995,WARM,FULL,5/10,NO,--,--,0.4,55882.5548726,650.3985355998484,4.448822304572626,0.6840148095459,0
44652800,270.6280875362079,58.62726594883917,2011-12-01T19:35:08.289,WARM,FULL,5/10,NO,--,--,0.4,55896.8160682,654.5737200603495,4.767852919290213,0.7283905193826958,0
44912640,270.6280875362079,58.62726594883917,2012-01-03T08:30:03.996,WARM,FULL,5/10,NO,--,--,0.4,55929.3542129,652.1111214184092,5.6566694947383285,0.867439506695498,0
45040896,270.6280875362079,58.62726594883917,2012-01-13T02:45:44.729,WARM,FULL,5/10,NO,--,--,0.4,55939.115101,653.65957050781,6.0895496323919875,0.9316087313861533,0
45167360,270.6280875362079,58.62726594883917,2012-01-27T05:20:34.480,WARM,FULL,5/10,NO,--,--,0.4,55953.2226213,652.267043012663,6.072242075887048,0.9309441801383735,0
45200896,270.6280875362079,58.62726594883917,2012-02-10T11:24:51.677,WARM,FULL,5/10,NO,--,--,0.4,55967.4755981,646.9929926071617,7.235467291409816,1.1183223580603778,0
45238784,270.6280875362079,58.62726594883917,2012-02-24T11:12:59.679,WARM,FULL,5/10,NO,--,--,0.4,55981.4673574,649.5666333977375,6.359989940181886,0.9791127827662888,0
45270016,270.6280875362079,58.62726594883917,2012-03-08T11:14:35.000,WARM,FULL,5/10,NO,--,--,0.4,55994.4684606,640.5553087962994,1.8491589466987015,0.28868060592200095,0
45364736,270.6280875362079,58.62726594883917,2012-03-23T04:52:46.797,WARM,FULL,5/10,NO,--,--,0.4,56009.2033194,651.9637471439639,5.519392741691334,0.846579701075398,0
45407232,270.6280875362079,58.62726594883917,2012-04-06T09:12:27.337,WARM,FULL,5/10,NO,--,--,0.4,56023.3836497,653.9967770374875,8.497502558931052,1.2993187210223773,0
45511936,270.6280875362079,58.62726594883917,2012-04-19T12:24:07.154,WARM,FULL,5/10,NO,--,--,0.4,56036.5167495,643.2830961621544,5.583723893055532,0.8680041378932838,0
45550592,270.6280875362079,58.62726594883917,2012-05-04T10:42:35.002,WARM,FULL,5/10,NO,--,--,0.4,56051.4462385,647.6667345964842,7.75265672189618,1.1970132643490357,0
45645056,270.6280875362079,58.62726594883917,2012-05-17T11:46:07.465,WARM,FULL,5/10,NO,--,--,0.4,56064.4903642,647.0499208419071,11.952031481465223,1.8471575525291575,0
45659904,270.6280875362079,58.62726594883917,2012-06-01T01:13:22.510,WARM,FULL,5/10,NO,--,--,0.4,56079.050955,650.7837816977766,10.983034917883185,1.687662665659928,0
45685248,270.6280875362079,58.62726594883917,2012-06-15T02:23:20.806,WARM,FULL,10/20,YES,large,2,0.4,56093.0995464,654.2831895056031,8.445463478913359,1.290796342375083,0
45708800,270.6280875362079,58.62726594883917,2012-06-16T05:28:39.930,WARM,FULL,100/100,NO,--,--,0.4,56094.2282399,696.0843524596412,4.876326441217132,0.7005367128260307,2
45709056,270.6280875362079,58.62726594883917,2012-06-16T05:05:37.311,WARM,SUB,0/10,NO,--,--,0.4,56094.2122374,nan,nan,nan,0
45709312,270.6280875362079,58.62726594883917,2012-06-16T05:25:17.931,WARM,FULL,0/200,NO,--,--,0.4,56094.225902,nan,nan,nan,0
45709568,270.6280875362079,58.62726594883917,2012-06-16T04:56:09.905,WARM,SUB,0/10,NO,--,--,0.4,56094.2056702,nan,nan,nan,0
45719808,270.6280875362079,58.62726594883917,2012-06-29T12:54:33.718,WARM,FULL,10/20,YES,large,1,0.4,56107.5378903,651.8192241296754,10.624830275492597,1.6300271428292292,0
45740544,270.6280875362079,58.62726594883917,2012-07-13T10:20:15.226,WARM,FULL,8/20,YES,large,4,0.4,56121.4307318,648.4736820681602,12.85204261801453,1.9818911658875413,0
45778688,270.6280875362079,58.62726594883917,2012-07-25T12:49:09.960,WARM,FULL,10/20,YES,large,4,0.4,56133.5341431,648.5427588167563,7.745904072185497,1.1943551858196102,0
45793792,270.6280875362079,58.62726594883917,2012-08-10T02:23:04.007,WARM,FULL,8/20,YES,large,1,0.4,56149.0993519,652.8680814109558,37.91195686829718,5.806985813483664,0
45815808,270.6280875362079,58.62726594883917,2012-08-24T13:28:28.209,WARM,FULL,10/20,YES,large,3,0.4,56163.5614376,643.8430224519946,25.996461787988526,4.037701874749578,0
45849088,270.6280875362079,58.62726594883917,2012-09-07T10:41:35.217,WARM,FULL,9/20,YES,large,3,0.4,56177.4455465,643.4652574404485,20.190151672900864,3.137722113111822,0
45954816,270.6280875362079,58.62726594883917,2012-09-20T17:25:30.640,WARM,FULL,10/20,YES,large,5,0.4,56190.7260491,652.9925534366746,9.03052736661022,1.382944923197501,0
46002688,270.6280875362079,58.62726594883917,2012-10-05T16:08:41.272,WARM,FULL,9/20,YES,large,5,0.4,56205.6726999,643.6974148453435,25.201754808386674,3.915155510519134,0
46070016,270.6280875362079,58.62726594883917,2012-10-20T17:36:14.062,WARM,FULL,10/20,YES,large,3,0.4,56220.7334961,650.2673752640505,5.43592631545698,0.8359524900429831,0
46087168,270.6280875362079,58.62726594883917,2012-11-02T17:44:52.746,WARM,FULL,10/20,YES,large,2,0.4,56233.7394994,649.1636182246057,7.692495741237125,1.1849856531201322,0
46488320,270.6280875362079,58.62726594883917,2012-11-15T10:34:53.099,WARM,FULL,10/20,YES,large,1,0.4,56246.4408923,648.241313253689,6.265852785672813,0.9665926341878606,0
46918144,270.6280875362079,58.62726594883917,2012-11-30T10:53:54.989,WARM,FULL,10/20,YES,large,1,0.4,56261.4541087,647.8160707915576,6.084255973821475,0.9391949734107716,0
52120064,270.6280875362079,58.62726594883917,2014-11-13T19:07:52.641,WARM,FULL,17/50,YES,large,1,0.4,56974.797137,644.4477620153633,20.557680202476256,3.189968437191372,2
52136704,270.6280875362079,58.62726594883917,2014-11-01T18:22:37.019,WARM,FULL,17/50,YES,large,1,0.4,56962.7657062,645.7959202680566,18.002468023625433,2.787640407538186,2
52136960,270.6280875362079,58.62726594883917,2014-11-27T17:43:50.498,WARM,FULL,17/50,YES,large,2,0.4,56988.7387789,644.9378460349809,15.607030838893888,2.419927894578445,2
52199936,270.6280875362079,58.62726594883917,2014-12-12T21:32:28.036,WARM,FULL,18/50,YES,large,3,0.4,57003.8975467,647.5760731196478,17.44289996060745,2.693567703417086,2
52285696,270.6280875362079,58.62726594883917,2014-12-25T10:02:15.274,WARM,FULL,16/50,YES,large,4,0.4,57016.4182323,649.6732843699735,14.919010928729557,2.296386705080139,2
52322304,270.6280875362079,58.62726594883917,2015-01-09T11:52:02.734,WARM,FULL,20/50,YES,large,4,0.4,57031.4944761,646.2260684297883,20.83036511599482,3.223386696022464,2
52343552,270.6280875362079,58.62726594883917,2015-01-22T17:35:00.033,WARM,FULL,17/50,YES,large,3,0.4,57044.7326393,647.9130115411219,11.175270260525311,1.7248102849399305,2
53230080,270.6280875362079,58.62726594883917,2015-02-07T10:50:33.593,WARM,FULL,16/50,YES,large,2,0.4,57060.4517777,641.2009849675169,17.28587598889576,2.6958592382342426,2
53487872,270.6280875362079,58.62726594883917,2015-02-20T11:07:04.729,WARM,FULL,15/50,YES,large,2,0.4,57073.4632492,642.4847917578055,16.06990117392712,2.501211138392972,2
54055168,270.6280875362079,58.62726594883917,2015-03-06T11:07:13.002,WARM,FULL,16/50,YES,large,5,0.4,57087.4633449,651.6916941534428,13.821017484998883,2.1207907986233567,2
54280448,270.6280875362079,58.62726594883917,2015-03-20T03:44:25.296,WARM,FULL,19/50,YES,large,2,0.4,57101.1558483,648.4906403949377,10.927774878497848,1.685109113038658,2
54298368,270.6280875362079,58.62726594883917,2015-04-03T03:10:05.489,WARM,FULL,18/50,YES,large,4,0.4,57115.132008,638.9452065626057,16.287308507389493,2.5490931522926474,2
54341632,270.6280875362079,58.62726594883917,2015-04-17T12:27:33.475,WARM,FULL,15/50,YES,large,5,0.4,57129.5191374,643.7046395538987,10.791613038211883,1.6764852037870517,2
54449408,270.6280875362079,58.62726594883917,2015-04-30T12:44:22.329,WARM,FULL,15/50,YES,large,1,0.4,57142.530814,644.4402906060174,16.572412389117453,2.5715978083141144,2
54466560,270.6280875362079,58.62726594883917,2015-05-15T11:55:51.004,WARM,FULL,17/50,YES,large,5,0.4,57157.4971181,652.8475123964029,15.561625531511474,2.3836539522666667,2
55120128,270.6280875362079,58.62726594883917,2015-05-30T15:51:37.686,WARM,FULL,13/50,YES,large,5,0.4,57172.6608528,642.7308892188994,21.672775964910965,3.3719829447203855,2
55651072,270.6280875362079,58.62726594883917,2015-06-25T12:17:07.291,WARM,FULL,13/50,YES,large,5,0.4,57198.5118899,643.5458069566164,10.774522984531654,1.674243366682055,2
56960768,270.6280875362079,58.62726594883917,2015-07-23T17:08:15.433,WARM,FULL,14/50,YES,large,3,0.4,57226.7140675,646.2584953701077,10.259462549905514,1.5875168563981497,2
57395968,270.6280875362079,58.62726594883917,2015-08-08T07:15:25.605,WARM,FULL,18/50,YES,large,4,0.4,57242.3023797,649.0176705320489,14.48816207161672,2.232321665408536,2
57713152,270.6280875362079,58.62726594883917,2015-08-22T09:54:21.898,WARM,FULL,15/50,YES,large,4,0.4,57256.4127534,642.061548819586,15.80466588708051,2.4615499738517266,2
57726976,270.6280875362079,58.62726594883917,2015-09-04T07:14:03.851,WARM,FULL,18/50,YES,large,5,0.4,57269.3014335,645.479864627807,11.955931018207982,1.8522546826618587,2
57745152,270.6280875362079,58.62726594883917,2015-09-17T19:37:12.663,WARM,FULL,14/50,YES,large,4,0.4,57282.8175077,643.3236593533833,16.854817153096025,2.619959161775135,2
57769728,270.6280875362079,58.62726594883917,2015-10-03T01:57:31.955,WARM,FULL,15/50,YES,large,2,0.4,57298.0816199,643.2565094783484,8.584076786216908,1.3344718101925157,2
57788928,270.6280875362079,58.62726594883917,2015-10-16T01:52:12.365,WARM,FULL,15/50,YES,large,3,0.4,57311.0779209,648.6656781427392,17.782047992918905,2.741327095312411,2
57823232,270.6280875362079,58.62726594883917,2015-10-30T09:10:00.739,WARM,FULL,18/50,YES,large,1,0.4,57325.381953,642.3242872011751,24.535631012795957,3.819819910547992,2
57842176,270.6280875362079,58.62726594883917,2015-11-14T00:30:26.441,WARM,FULL,20/50,YES,large,3,0.4,57340.0211394,646.8145768527124,18.05174287459787,2.790868282906443,2
58478080,270.6280875362079,58.62726594883917,2015-12-25T03:12:27.569,WARM,FULL,11/50,YES,large,5,0.4,57381.1336524,642.8306939682631,28.528485106806595,4.437946939138389,2
58505984,270.6280875362079,58.62726594883917,2016-01-08T02:16:19.111,WARM,FULL,16/50,YES,large,1,0.4,57395.0946656,648.1096792564164,17.840339600942517,2.752672915086061,2
58534400,270.6280875362079,58.62726594883917,2015-12-15T06:15:15.364,WARM,FULL,16/50,YES,large,3,0.4,57371.2605945,642.5754778292131,14.044893854176077,2.1857189293347106,2
58590976,270.6280875362079,58.62726594883917,2016-02-06T14:25:50.608,WARM,FULL,19/50,YES,large,2,0.4,57424.6012802,643.4147997747702,10.861718662594894,1.688136279488299,2
58728448,270.6280875362079,58.62726594883917,2016-02-20T02:49:23.846,WARM,FULL,15/50,YES,large,4,0.4,57438.1176371,648.5042401573147,21.6122563094959,3.3326314573137075,2
