AORKEY,Target RA,Target Dec,DateObs,Mission,Read Mode,Workable/Total Files in AOR,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
40398848,307.39527160044247,62.99406155209278,2010-09-20T03:55:19.461,WARM,SUB,3/4,NO,medium,4,0.02,55459.1634197,9250.806338499067,205.25583300103176,2.2187885627528368,0
40399104,133.71335107085125,-63.70194158300028,2011-04-15T23:42:53.361,WARM,SUB,2/4,NO,medium,4,0.1,55666.9881176,312.3050457679533,5.992181604739784,1.9186950982508468,0
40399360,94.3172078996329,5.0999765602138885,2010-11-24T06:55:59.676,WARM,SUB,0/4,NO,medium,4,0.02,55524.2888851,nan,nan,nan,0
40399616,223.42321840129372,23.345223537101386,2011-04-08T13:35:47.011,WARM,SUB,0/4,NO,medium,4,0.02,55659.5665163,nan,nan,nan,0
40399872,67.64013771995333,16.194017253449445,2010-10-27T07:44:18.960,WARM,SUB,3/4,NO,medium,4,0.02,55496.3224417,5018.461235967857,108.98084511128562,2.1715988225675242,0
40400128,326.341273338682,-12.783352240526389,2010-12-22T17:03:56.474,WARM,SUB,3/4,NO,medium,4,0.02,55552.7110703,1596.5839222595775,11.799449413244773,0.7390434820704891,0
40400384,97.45443558333334,-50.23907863888889,2010-12-14T14:36:53.883,WARM,SUB,3/4,NO,medium,4,0.02,55544.608957,5102.581860303901,119.58525091523171,2.3436223893938553,0
40400640,293.1261237046175,-35.45172517859917,2010-11-05T08:43:20.315,WARM,SUB,0/4,NO,medium,4,0.02,55505.3634296,nan,nan,nan,0
40400896,196.4225330182296,49.471934789216114,2011-01-22T11:51:16.375,WARM,SUB,0/4,NO,medium,4,0.02,55583.4939395,nan,nan,nan,0
40401152,58.647775589727914,-6.826014764186667,2010-10-14T09:18:05.078,WARM,SUB,0/4,NO,medium,4,0.02,55483.3875588,nan,nan,nan,0
40401408,93.0023617692375,6.7830714769144445,2010-11-17T00:00:52.222,WARM,SUB,0/4,NO,medium,4,0.02,55517.0006044,nan,nan,nan,0
40401664,39.174011529925,-3.1561375335077777,2010-09-19T06:27:41.725,WARM,SUB,0/4,NO,medium,4,0.02,55458.2692329,nan,nan,nan,0
40401920,205.26737885860624,-34.464158150656395,2011-04-19T15:13:38.540,WARM,SUB,0/4,NO,medium,4,0.02,55670.6344738,nan,nan,nan,0
40402176,124.11029595833334,-3.226089138888889,2010-12-15T13:40:25.619,WARM,SUB,3/4,NO,medium,4,0.02,55545.569741,1303.260795914629,12.950064450326167,0.9936663859544556,0
40402432,305.2954261087841,-51.791085444938055,2010-11-26T15:12:45.218,WARM,SUB,3/4,NO,medium,4,0.02,55526.6338567,825.4790891272058,12.02054272247802,1.456189851542764,0
40402688,223.22275541261956,32.69090848985833,2011-04-16T21:54:47.093,WARM,SUB,3/4,NO,medium,4,0.02,55667.9130451,1392.3954049032684,5.543257444374425,0.398109432482616,0
40402944,258.2295625424671,42.33182992916306,2010-09-23T12:32:40.514,WARM,SUB,0/4,NO,medium,4,0.1,55462.5226911,nan,nan,nan,0
40403200,139.3219378272129,-68.68963316779278,2011-04-18T23:21:38.710,WARM,SUB,2/4,NO,medium,4,0.02,55669.9733647,5132.95429238078,15.954546378783107,0.3108258026467449,0
40403456,20.49630508765708,76.71028814467778,2010-10-03T23:12:10.149,WARM,SUB,3/4,NO,medium,4,0.02,55472.9667841,2542.1325239193907,52.99249042928073,2.084568366545201,0
40403712,133.57477908704038,-5.434457357718889,2011-01-11T10:37:07.231,WARM,SUB,0/4,NO,medium,4,0.02,55572.4424448,nan,nan,nan,0
40403968,1.4208450799508332,45.81037597446888,2010-09-21T10:12:48.606,WARM,SUB,0/4,NO,medium,4,0.02,55460.4255626,nan,nan,nan,0
40404224,16.608972091447498,-14.296418374441945,2010-09-19T04:16:59.746,WARM,SUB,3/4,NO,medium,4,0.1,55458.1784693,343.9378876558676,5.281908830979689,1.5357159011991681,0
40404480,119.07178368694873,80.26554294702167,2011-01-04T00:10:02.834,WARM,SUB,0/4,NO,medium,4,0.02,55565.0069773,nan,nan,nan,0
40404736,1.4209245318604165,45.812095891912776,2010-09-25T03:07:03.552,WARM,SUB,0/4,NO,medium,4,0.02,55464.1299022,nan,nan,nan,0
40404992,16.907801916666664,22.95497675,2010-09-25T03:14:53.661,WARM,SUB,0/4,NO,medium,4,0.02,55464.1353433,nan,nan,nan,0
40405248,81.11869699301958,-16.975774743994442,2010-11-11T08:13:15.983,WARM,SUB,3/4,NO,medium,4,0.02,55511.3425461,1513.8436926043748,23.045185528538948,1.5222962344872375,0
