,AORKEY,Original Flux (mJy),2_2_6 Flux (mJy),Systematics Flux (mJy),bcd1 Flux (mJy),bcd32 Flux (mJy),bcd64 Flux (mJy),5_5_10 Flux (mJy),Different Sky Subtraction Flux (mJy),"r5, medBCD Flux (mJy)",Original Spread (%),2_2_6 Spread (%),Systematics Spread (%),bcd1 Spread (%),bcd32 Spread (%),bcd64 Spread (%),5_5_10 Spread (%),Different Sky Subtraction Spread (%),"r5, medBCD Spread (%)"
0,40398848,9368.41765478,8853.21774005,9699.40961778,9351.64514264,9483.38061169,9339.15025298,9126.13301794,9293.7833801,9250.8063385,0.966735374696,0.946062733105,0.857445580659,1.58153536148,4.19200429733,1.40015373054,0.986124621694,0.740864901142,2.21878856275
1,40399104,373.957408356,298.564542393,9699.40961778,401.987932122,371.970239728,372.160404886,314.857562261,348.528051377,312.305045768,3.07441162823,0.20114370356,0.857445580659,4.05011204606,5.26820327237,1.47297737596,1.85474638426,4.51284561521,1.91869509825
2,40399872,5133.05413359,4813.99535439,5335.96888192,5193.46381348,5081.66671267,5095.68601873,4971.91576245,5092.4474818,5018.46123597,1.2661688081,1.07634141101,1.61474795219,2.37903120644,1.65716457101,2.78068410299,0.830478049119,1.52126714282,2.17159882257
3,40400128,1713.49349144,1561.48730238,1776.92623353,1737.93569657,1690.74681117,1666.62030251,1615.09920832,1648.88070965,1596.58392226,1.71118478944,1.6269573896,1.56719598087,5.50285769187,2.74872174822,5.21782355314,1.60347432964,1.5598664793,0.73904348207
4,40400384,5882.93261946,5107.04572486,6078.97828982,5844.01371757,5920.67826028,5818.1614621,5128.72753234,5691.9937806,5102.5818603,1.10680640546,0.93559156125,1.21460143449,1.7215477424,2.56442878865,0.92178930845,1.33235382405,1.35608055961,2.34362238939
5,40402176,1432.65892353,1238.13328033,1487.37975749,1393.67620453,1413.32239124,1392.54642591,1303.89416378,1373.40060472,1303.26079591,1.77013277437,0.811890816857,2.53482182743,8.95487388893,4.29818147236,2.75446730956,0.859684101555,2.0758742547,0.993666385954
6,40402432,911.822199487,786.115692982,946.181031609,878.16075055,933.876246401,941.573815945,817.468843721,837.898829753,825.479089127,2.73049991399,1.39032484424,3.31737338334,4.57475061039,7.0609371109,5.09241661265,1.0410936293,2.1747880651,1.45618985154
7,40402688,1538.83894356,1349.95839129,1596.98561914,1557.25336496,1503.54587407,1493.72162764,1399.51538645,1455.07783472,1392.3954049,1.75517467681,1.299589948,2.12654988902,6.77180195054,1.89605435037,5.09911989726,1.42332260743,2.73668985662,0.398109432483
8,40403200,5360.3625712,4979.52647727,1596.98561914,5349.15295908,5328.48541249,5229.61788581,5183.4352546,5257.06946597,5132.95429238,0.694092165056,1.18847315554,2.12654988902,1.85311949278,1.01005427449,2.03828946913,0.924340341869,1.5230602917,0.310825802647
9,40403456,2598.04831739,2433.18084042,2700.1685205,2632.39559235,2532.346479,2712.74325616,2501.46780366,2542.01601897,2542.13252392,1.707637122,1.05493538238,1.73809185139,1.26414314284,2.62944262559,1.36590241732,0.822080703336,1.3629426081,2.08456836655
10,40404224,402.71723412,322.637817038,419.002954023,419.336081579,406.994522564,398.446696279,342.084700892,379.203440193,343.937887656,3.9420079019,1.90176348531,4.36324890271,4.49858762788,3.19157300045,4.50877664064,0.402243022748,3.3085560728,1.5357159012
11,40405248,1613.51161932,1448.03723764,1676.2675311,1700.54956535,1632.44536041,1579.93410496,1504.36483579,1559.2187946,1513.8436926,2.96297629633,0.937857242687,3.1378554024,6.7517304226,4.8731289068,3.79882815462,0.714238834608,1.61434120289,1.52229623449
12,40405504,4800.97299544,4534.37277458,1676.2675311,4873.12430582,4776.35003484,4951.19816561,4664.44654892,4721.06349033,4748.46981913,2.12389510926,2.68185284358,3.1378554024,0.354123264165,0.0,0.753135039387,2.72776354773,2.02261032829,0.571613942687
13,40406016,1226.02337585,1077.31081447,1274.31537595,1232.8869245,1220.03173245,1303.85999707,1121.4439698,1173.66114596,1135.62076711,2.32427461799,1.23903224578,2.21002664644,5.91483727371,5.26563147804,3.24598960611,1.3053540608,3.98462120471,3.0458276227
14,40406272,5605.02933665,5267.95755712,5813.9248244,5510.82010718,5615.75614483,5570.45388606,5430.06205225,5531.42118089,5466.44532453,0.523137224441,1.15372848905,1.04033248741,2.60886301499,1.22551414895,1.92061286968,0.989569035466,1.10931307585,2.05322613478
15,40406528,2592.65519698,2364.52227741,2693.9375821,2556.83449865,2595.15595862,2613.5608113,2460.89121605,2539.67212264,2453.49155934,1.12004933041,0.774520734446,1.50436168418,0.728091992115,3.88241544587,0.862204648375,1.16030630648,1.19936258275,0.466750965968
16,40406784,3039.06105787,2743.02693792,3162.58956745,3058.21867637,2955.14384116,3131.83152896,2847.59687863,2974.96483633,2850.70693023,1.14356525876,1.41108035495,1.03660297336,0.959454539585,3.07245847406,3.37677375437,1.30703560103,1.93709383065,2.3088021261
17,40407040,695.845962771,619.742962302,724.137416184,697.664833915,693.114275902,697.236600866,639.036153975,653.09727418,639.063273413,3.0624004628,2.17426494546,2.67564627125,3.5927058707,3.34704355149,3.32001866726,1.3337549979,1.01546861974,1.60940643561
