AORKEY,Target RA,Target Dec,DateObs,Mission,Read Mode,Workable/Total Files in AOR,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
16272384,114.555525,21.5055561111,2005-10-25T09:23:27.509,CRYO,FULL,15/192,NO,medium,5,30.0,53668.3912906,0.3376612139105494,0.03954362812318305,11.711036534287485,2
16272384,114.557745833,21.5483188889,2005-10-25T09:23:27.509,CRYO,FULL,13/192,NO,medium,5,30.0,53668.3912906,0.21925730312748745,0.0806625935479688,36.78901108305042,2
16272384,114.563670833,21.6280783333,2005-10-25T09:23:27.509,CRYO,FULL,16/192,NO,medium,5,30.0,53668.3912906,0.37401774263474025,0.06824577912458073,18.246668899669945,2
16272384,114.572554167,21.4750002778,2005-10-25T09:23:27.509,CRYO,FULL,2/192,NO,medium,5,30.0,53668.3912906,0.4092495411096456,0.22168818636558105,54.16944042612539,0
16272384,114.602816667,21.5772380556,2005-10-25T09:23:27.509,CRYO,FULL,0/192,NO,medium,5,30.0,53668.3912906,nan,nan,nan,0
16272384,114.647841667,21.6384333333,2005-10-25T09:23:27.509,CRYO,FULL,10/192,NO,medium,5,30.0,53668.3912906,0.1765429187208201,0.015792373345084768,8.945345109003423,0
16272384,114.698383333,21.5966052778,2005-10-25T09:23:27.509,CRYO,FULL,16/192,NO,medium,5,30.0,53668.3912906,0.329336597519668,0.04597441185278238,13.959703294146284,2
16272384,114.511483333,21.5158444444,2005-10-25T09:23:27.509,CRYO,FULL,7/192,NO,medium,5,30.0,53668.3912906,0.20686323883353963,0.09553057177112581,46.18054532540609,0
16272384,114.567116667,21.54187,2005-10-25T09:23:27.509,CRYO,FULL,13/192,NO,medium,5,30.0,53668.3912906,0.1880606819568694,0.07943669616227622,42.23992773805561,2
16272384,114.571095833,21.6060658333,2005-10-25T09:23:27.509,CRYO,FULL,0/192,NO,medium,5,30.0,53668.3912906,nan,nan,nan,0
16272384,114.593583333,21.6154080556,2005-10-25T09:23:27.509,CRYO,FULL,0/192,NO,medium,5,30.0,53668.3912906,nan,nan,nan,0
16272384,114.618616667,21.5580577778,2005-10-25T09:23:27.509,CRYO,FULL,0/192,NO,medium,5,30.0,53668.3912906,nan,nan,nan,0
38111232,114.555525,21.5055561111,2009-11-30T15:17:42.133,WARM,FULL,8/96,NO,medium,2,1.2,55165.6372932,0.3590386907097658,0.11724439564816483,32.65508667502942,0
38111232,114.557745833,21.5483188889,2009-11-30T15:17:42.133,WARM,FULL,5/96,NO,medium,2,1.2,55165.6372932,0.20286322946737764,0.09750365269600747,48.06373878203837,0
38111232,114.563670833,21.6280783333,2009-11-30T15:17:42.133,WARM,FULL,5/96,NO,medium,2,1.2,55165.6372932,0.3341140361183586,0.030670281069571346,9.179584738758631,0
38111232,114.572554167,21.4750002778,2009-11-30T15:17:42.133,WARM,FULL,0/96,NO,medium,2,1.2,55165.6372932,nan,nan,nan,0
38111232,114.602816667,21.5772380556,2009-11-30T15:17:42.133,WARM,FULL,0/96,NO,medium,2,1.2,55165.6372932,nan,nan,nan,0
38111232,114.647841667,21.6384333333,2009-11-30T15:17:42.133,WARM,FULL,4/96,NO,medium,2,1.2,55165.6372932,0.1750593968001679,0.008659410192738103,4.94655548403546,0
38111232,114.698383333,21.5966052778,2009-11-30T15:17:42.133,WARM,FULL,7/96,NO,medium,2,1.2,55165.6372932,0.21430010516077877,0.14099878043074224,65.795012244608,0
38111232,114.511483333,21.5158444444,2009-11-30T15:17:42.133,WARM,FULL,3/96,NO,medium,2,1.2,55165.6372932,0.23750685732406995,0.09511368058852501,40.046709244586424,0
38111232,114.567116667,21.54187,2009-11-30T15:17:42.133,WARM,FULL,6/96,NO,medium,2,1.2,55165.6372932,0.13184754475251098,0.04236317527267081,32.13042408350499,0
38111232,114.571095833,21.6060658333,2009-11-30T15:17:42.133,WARM,FULL,0/96,NO,medium,2,1.2,55165.6372932,nan,nan,nan,0
38111232,114.593583333,21.6154080556,2009-11-30T15:17:42.133,WARM,FULL,0/96,NO,medium,2,1.2,55165.6372932,nan,nan,nan,0
38111232,114.618616667,21.5580577778,2009-11-30T15:17:42.133,WARM,FULL,0/96,NO,medium,2,1.2,55165.6372932,nan,nan,nan,0
42490880,114.555525,21.5055561111,2012-05-18T19:46:48.936,WARM,FULL,7/96,NO,medium,4,30.0,56065.8241775,0.37924123035630425,0.18119845098951062,47.77920660664224,0
42490880,114.557745833,21.5483188889,2012-05-18T19:46:48.936,WARM,FULL,5/96,NO,medium,4,30.0,56065.8241775,0.24470899973657217,0.12620828548668087,51.57484425278325,0
42490880,114.563670833,21.6280783333,2012-05-18T19:46:48.936,WARM,FULL,6/96,NO,medium,4,30.0,56065.8241775,0.443779430164198,0.05845873681228273,13.172926196839057,0
42490880,114.572554167,21.4750002778,2012-05-18T19:46:48.936,WARM,FULL,3/96,NO,medium,4,30.0,56065.8241775,0.21803000608849288,0.17876700628321956,81.99192830855701,0
42490880,114.602816667,21.5772380556,2012-05-18T19:46:48.936,WARM,FULL,2/96,NO,medium,4,30.0,56065.8241775,0.3063410017433209,0.11636290720202334,37.9847642136792,0
42490880,114.647841667,21.6384333333,2012-05-18T19:46:48.936,WARM,FULL,6/96,NO,medium,4,30.0,56065.8241775,0.26884810565970635,0.13468213246173638,50.09599458818946,0
42490880,114.698383333,21.5966052778,2012-05-18T19:46:48.936,WARM,FULL,6/96,NO,medium,4,30.0,56065.8241775,0.31069482166323176,0.10715973500466844,34.490351152624285,0
42490880,114.511483333,21.5158444444,2012-05-18T19:46:48.936,WARM,FULL,0/96,NO,medium,4,30.0,56065.8241775,nan,nan,nan,0
42490880,114.567116667,21.54187,2012-05-18T19:46:48.936,WARM,FULL,3/96,NO,medium,4,30.0,56065.8241775,0.17579345928406778,0.01777320518159257,10.110276715627133,0
42490880,114.571095833,21.6060658333,2012-05-18T19:46:48.936,WARM,FULL,0/96,NO,medium,4,30.0,56065.8241775,nan,nan,nan,0
