AORKEY,Target RA,Target Dec,DateObs,Mission,Read Mode,Workable/Total Files in AOR,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
16272384,114.555525,21.5055561111,2005-10-25T09:23:27.509,CRYO,FULL,15/192,NO,medium,5,30.0,53668.3912906,0.3361604974042803,0.039367878664857796,11.711036534287485,2
16272384,114.557745833,21.5483188889,2005-10-25T09:23:27.509,CRYO,FULL,13/192,NO,medium,5,30.0,53668.3912906,0.21828282622469858,0.08030409313220004,36.78901108305042,2
16272384,114.563670833,21.6280783333,2005-10-25T09:23:27.509,CRYO,FULL,16/192,NO,medium,5,30.0,53668.3912906,0.3723554415563637,0.06794246455069372,18.24666889966995,2
16272384,114.572554167,21.4750002778,2005-10-25T09:23:27.509,CRYO,FULL,2/192,NO,medium,5,30.0,53668.3912906,0.40743065426026953,0.22070290553728963,54.16944042612539,0
16272384,114.602816667,21.5772380556,2005-10-25T09:23:27.509,CRYO,FULL,0/192,NO,medium,5,30.0,53668.3912906,nan,nan,nan,0
16272384,114.647841667,21.6384333333,2005-10-25T09:23:27.509,CRYO,FULL,10/192,NO,medium,5,30.0,53668.3912906,0.17575828352650538,0.015722185019106622,8.945345109003425,0
16272384,114.698383333,21.5966052778,2005-10-25T09:23:27.509,CRYO,FULL,16/192,NO,medium,5,30.0,53668.3912906,0.3278728793084694,0.04577008113343669,13.959703294146289,2
16272384,114.511483333,21.5158444444,2005-10-25T09:23:27.509,CRYO,FULL,7/192,NO,medium,5,30.0,53668.3912906,0.20594384666094617,0.09510599145214302,46.18054532540607,0
16272384,114.567116667,21.54187,2005-10-25T09:23:27.509,CRYO,FULL,13/192,NO,medium,5,30.0,53668.3912906,0.18722485670372777,0.07908364417933277,42.239927738055606,2
16272384,114.571095833,21.6060658333,2005-10-25T09:23:27.509,CRYO,FULL,0/192,NO,medium,5,30.0,53668.3912906,nan,nan,nan,0
16272384,114.593583333,21.6154080556,2005-10-25T09:23:27.509,CRYO,FULL,0/192,NO,medium,5,30.0,53668.3912906,nan,nan,nan,0
16272384,114.618616667,21.5580577778,2005-10-25T09:23:27.509,CRYO,FULL,0/192,NO,medium,5,30.0,53668.3912906,nan,nan,nan,0
38111232,114.555525,21.5055561111,2009-11-30T15:17:42.133,WARM,FULL,8/96,NO,medium,2,1.2,55165.6372932,0.3574429631955002,0.1167233094452841,32.65508667502942,0
38111232,114.557745833,21.5483188889,2009-11-30T15:17:42.133,WARM,FULL,5/96,NO,medium,2,1.2,55165.6372932,0.20196161511418936,0.09707030312846969,48.06373878203837,0
38111232,114.563670833,21.6280783333,2009-11-30T15:17:42.133,WARM,FULL,5/96,NO,medium,2,1.2,55165.6372932,0.33262908484672143,0.03053396870926216,9.179584738758638,0
38111232,114.572554167,21.4750002778,2009-11-30T15:17:42.133,WARM,FULL,0/96,NO,medium,2,1.2,55165.6372932,nan,nan,nan,0
