AORKEY,Target RA,Target Dec,DateObs,Mission,Read Mode,Workable/Total Files in AOR,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
16272384,114.555525,21.5055561111,2005-10-25T09:23:27.509,CRYO,FULL,10/192,NO,medium,5,30.0,53668.3912906,0.3683945863875099,0.2931754163728301,79.5819013649789,0
16272384,114.557745833,21.5483188889,2005-10-25T09:23:27.509,CRYO,FULL,10/192,NO,medium,5,30.0,53668.3912906,-0.42276385428517804,0.6304820316895193,-149.13338150811344,0
16272384,114.563670833,21.6280783333,2005-10-25T09:23:27.509,CRYO,FULL,8/192,NO,medium,5,30.0,53668.3912906,-7.961145609003964,0.5950233936665982,-7.47409258528865,0
16272384,114.572554167,21.4750002778,2005-10-25T09:23:27.509,CRYO,FULL,1/192,NO,medium,5,30.0,53668.3912906,-0.10592061026114565,0.0,-0.0,0
16272384,114.602816667,21.5772380556,2005-10-25T09:23:27.509,CRYO,FULL,0/192,NO,medium,5,30.0,53668.3912906,nan,nan,nan,0
16272384,114.647841667,21.6384333333,2005-10-25T09:23:27.509,CRYO,FULL,10/192,NO,medium,5,30.0,53668.3912906,-0.21798089326750164,0.40878181385040335,-187.53102977184096,0
16272384,114.698383333,21.5966052778,2005-10-25T09:23:27.509,CRYO,FULL,12/192,NO,medium,5,30.0,53668.3912906,0.31072446052570185,0.39568944387318605,127.34415668587387,2
16272384,114.511483333,21.5158444444,2005-10-25T09:23:27.509,CRYO,FULL,6/192,NO,medium,5,30.0,53668.3912906,0.4482311237446837,0.286043549995584,63.816083900170405,0
16272384,114.567116667,21.54187,2005-10-25T09:23:27.509,CRYO,FULL,11/192,NO,medium,5,30.0,53668.3912906,-0.09458260164724824,0.22383070755075143,-236.65103692700495,2
16272384,114.571095833,21.6060658333,2005-10-25T09:23:27.509,CRYO,FULL,0/192,NO,medium,5,30.0,53668.3912906,nan,nan,nan,0
