File#,Coord Conversion Issue,Centroiding Issue,Bad Center Guess,Not In FOV,Ap Out Of Bound,Xc,Yc,Fx,Fy,Time[MJD],Raw_Flux,Bkg_Flux,Res_Flux
1,X,X,X,O,O,nan,nan,nan,nan,53858.4102549,nan,nan,nan
2,X,X,X,O,O,nan,nan,nan,nan,53858.411241,nan,nan,nan
3,X,X,X,O,O,nan,nan,nan,nan,53858.4122873,nan,nan,nan
4,X,X,X,O,O,nan,nan,nan,nan,53858.4117916,nan,nan,nan
5,X,X,X,O,O,nan,nan,nan,nan,53858.4148752,nan,nan,nan
6,X,X,X,O,O,nan,nan,nan,nan,53858.4138472,nan,nan,nan
7,X,X,X,O,O,nan,nan,nan,nan,53858.4128334,nan,nan,nan
8,X,X,X,O,O,nan,nan,nan,nan,53858.4164446,nan,nan,nan
9,X,X,X,O,O,nan,nan,nan,nan,53858.4143981,nan,nan,nan
10,X,X,X,O,O,nan,nan,nan,nan,53858.4164815,nan,nan,nan
11,X,X,X,O,O,nan,nan,nan,nan,53858.4180463,nan,nan,nan
12,X,X,X,O,O,nan,nan,nan,nan,53858.4201064,nan,nan,nan
13,X,X,X,O,O,nan,nan,nan,nan,53858.4220971,nan,nan,nan
14,X,X,X,O,O,nan,nan,nan,nan,53858.4226341,nan,nan,nan
15,X,X,X,O,O,nan,nan,nan,nan,53858.4246529,nan,nan,nan
16,X,X,X,O,O,nan,nan,nan,nan,53858.4266991,nan,nan,nan
17,X,X,X,O,O,nan,nan,nan,nan,53858.4271946,nan,nan,nan
18,X,X,X,O,O,nan,nan,nan,nan,53858.4281759,nan,nan,nan
19,X,X,X,O,O,nan,nan,nan,nan,53858.4287128,nan,nan,nan
20,X,X,X,O,O,nan,nan,nan,nan,53858.4277267,nan,nan,nan
21,X,X,X,O,O,nan,nan,nan,nan,53858.4292127,nan,nan,nan
22,X,X,X,O,O,nan,nan,nan,nan,53858.4312361,nan,nan,nan
23,X,O,X,X,X,nan,nan,nan,nan,53858.432213,nan,nan,nan
24,X,X,X,X,O,294.69724511301956,68.38314466645757,14.028519223995698,777552.0670203115,53858.4332268,nan,nan,nan
25,X,X,X,X,X,152.04503514993638,50.26785427921141,1.5125542767718654,1.0908333344034165,53858.4342822,1.6547268571153015,-0.06576698977761748,1.720493846892919
26,X,X,X,X,O,-231.94714130332642,425.53451678653926,851.7440630407331,15.633330325616352,53858.4342454,nan,nan,nan
27,X,X,X,O,O,nan,nan,nan,nan,53858.4353333,nan,nan,nan
28,X,X,X,O,O,nan,nan,nan,nan,53858.4337315,nan,nan,nan
29,X,X,X,O,O,nan,nan,nan,nan,53858.4374812,nan,nan,nan
30,X,X,X,O,O,nan,nan,nan,nan,53858.438435,nan,nan,nan
31,X,X,X,O,O,nan,nan,nan,nan,53858.4410045,nan,nan,nan
32,X,X,X,O,O,nan,nan,nan,nan,53858.4415367,nan,nan,nan
33,X,X,X,O,O,nan,nan,nan,nan,53858.4420181,nan,nan,nan
34,X,X,X,O,O,nan,nan,nan,nan,53858.4440923,nan,nan,nan
35,X,X,X,O,O,nan,nan,nan,nan,53858.4425321,nan,nan,nan
36,X,X,X,O,O,nan,nan,nan,nan,53858.4450782,nan,nan,nan
37,X,X,X,O,O,nan,nan,nan,nan,53858.4445415,nan,nan,nan
38,X,X,X,O,O,nan,nan,nan,nan,53858.4460736,nan,nan,nan
39,X,X,X,O,O,nan,nan,nan,nan,53858.4465645,nan,nan,nan
40,X,X,X,O,O,nan,nan,nan,nan,53858.4485736,nan,nan,nan
41,X,X,X,O,O,nan,nan,nan,nan,53858.4470922,nan,nan,nan
42,X,X,X,O,O,nan,nan,nan,nan,53858.4490368,nan,nan,nan
43,X,X,X,O,O,nan,nan,nan,nan,53858.4506015,nan,nan,nan
44,X,X,X,O,O,nan,nan,nan,nan,53858.4495645,nan,nan,nan
45,X,X,X,O,O,nan,nan,nan,nan,53858.4500692,nan,nan,nan
46,X,X,X,O,O,nan,nan,nan,nan,53858.455268,nan,nan,nan
47,X,X,X,O,O,nan,nan,nan,nan,53858.4531386,nan,nan,nan
48,X,X,O,X,X,130.4534093425171,218.57286095227502,12.941071107335212,2.4199818099081423,53858.4526247,nan,nan,nan
49,X,X,X,O,O,nan,nan,nan,nan,53858.4557541,nan,nan,nan
50,X,X,X,O,O,nan,nan,nan,nan,53858.4577219,nan,nan,nan
51,X,X,X,O,O,nan,nan,nan,nan,53858.4562079,nan,nan,nan
52,X,X,X,O,O,nan,nan,nan,nan,53858.4582633,nan,nan,nan
53,X,X,X,O,O,nan,nan,nan,nan,53858.4587449,nan,nan,nan
54,X,X,X,O,O,nan,nan,nan,nan,53858.4107778,nan,nan,nan
55,X,X,X,O,O,nan,nan,nan,nan,53858.4127966,nan,nan,nan
56,X,X,X,O,O,nan,nan,nan,nan,53858.4153937,nan,nan,nan
57,X,X,X,O,O,nan,nan,nan,nan,53858.4123242,nan,nan,nan
58,X,X,X,O,O,nan,nan,nan,nan,53858.4133426,nan,nan,nan
59,X,X,X,O,O,nan,nan,nan,nan,53858.4170139,nan,nan,nan
60,X,X,X,O,O,nan,nan,nan,nan,53858.4175324,nan,nan,nan
61,X,X,X,O,O,nan,nan,nan,nan,53858.4180094,nan,nan,nan
62,X,X,X,O,O,nan,nan,nan,nan,53858.4186111,nan,nan,nan
63,X,X,X,O,O,nan,nan,nan,nan,53858.4196157,nan,nan,nan
64,X,X,X,O,O,nan,nan,nan,nan,53858.4215649,nan,nan,nan
65,X,X,X,O,O,nan,nan,nan,nan,53858.4211064,nan,nan,nan
66,X,X,X,O,O,nan,nan,nan,nan,53858.4231065,nan,nan,nan
67,X,X,X,O,O,nan,nan,nan,nan,53858.4231388,nan,nan,nan
68,X,X,X,O,O,nan,nan,nan,nan,53858.4241804,nan,nan,nan
69,X,X,X,O,O,nan,nan,nan,nan,53858.424685,nan,nan,nan
70,X,X,X,O,O,nan,nan,nan,nan,53858.4276899,nan,nan,nan
71,X,X,X,O,O,nan,nan,nan,nan,53858.4261528,nan,nan,nan
72,X,X,X,O,O,nan,nan,nan,nan,53858.426736,nan,nan,nan
73,X,X,X,O,O,nan,nan,nan,nan,53858.4307454,nan,nan,nan
74,X,X,X,O,O,nan,nan,nan,nan,53858.4307823,nan,nan,nan
75,X,X,X,X,X,172.17197023472124,37.501038890349285,1.2318361637842727,1.708654125418936,53858.4332591,1.7219593196017933,-0.27499373829147183,1.996953057893265
76,X,X,X,O,O,nan,nan,nan,nan,53858.4347963,nan,nan,nan
77,X,X,X,O,O,nan,nan,nan,nan,53858.4327497,nan,nan,nan
78,X,X,X,O,O,nan,nan,nan,nan,53858.4358611,nan,nan,nan
79,X,O,X,X,X,nan,nan,nan,nan,53858.4364303,nan,nan,nan
80,X,X,X,O,O,nan,nan,nan,nan,53858.438986,nan,nan,nan
81,X,X,X,O,O,nan,nan,nan,nan,53858.4405184,nan,nan,nan
82,X,O,X,X,X,nan,nan,nan,nan,53858.4322498,nan,nan,nan
83,X,X,X,O,O,nan,nan,nan,nan,53858.4405553,nan,nan,nan
84,X,X,X,O,O,nan,nan,nan,nan,53858.4410413,nan,nan,nan
85,X,X,X,O,O,nan,nan,nan,nan,53858.4414999,nan,nan,nan
86,X,X,X,O,O,nan,nan,nan,nan,53858.4424999,nan,nan,nan
87,X,X,X,O,O,nan,nan,nan,nan,53858.4419767,nan,nan,nan
88,X,X,X,O,O,nan,nan,nan,nan,53858.4435923,nan,nan,nan
89,X,X,X,O,O,nan,nan,nan,nan,53858.4450414,nan,nan,nan
90,X,X,X,O,O,nan,nan,nan,nan,53858.4455829,nan,nan,nan
