AORKEY,Target Coordinates,DateObs,Mission,Read Mode,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
3963904,"70.54666667,  25.2725",2004-02-09T21:08:54.292,CRYO,FULL,NO,small,2,12.0,53044.8811839,-0.31629232704760546,0.0,-0.0,0
3963904,"70.32083333,  25.6641666",2004-02-09T21:08:54.292,CRYO,FULL,NO,small,2,12.0,53044.8811839,0.18009222469628722,0.0,0.0,0
3965440,"71.96333333,  29.3072222",2004-02-09T21:36:45.661,CRYO,FULL,NO,small,2,12.0,53044.9005285,0.05584289836650864,0.0,0.0,0
3965440,"70.835,  29.66888889",2004-02-09T21:36:45.661,CRYO,FULL,NO,small,2,12.0,53044.9005285,70.61656239126911,5.727797627589218,8.111124973561996,0
3965440,"70.84833333,  29.5552777",2004-02-09T21:36:45.661,CRYO,FULL,NO,small,2,12.0,53044.9005285,0.6749298182337826,0.0,0.0,0
3967488,"63.69875,  26.78944444",2004-02-10T22:11:34.733,CRYO,FULL,NO,small,3,0.6,53045.9247076,-0.6251980699870978,0.0,-0.0,0
3967232,"61.16416667,  21.9727777",2004-02-11T10:13:41.573,CRYO,FULL,NO,small,2,12.0,53046.4261756,67.65378192461145,2.145392897931626,3.1711352076699852,0
3966464,"76.95708333,  30.4019444",2004-02-12T21:45:51.912,CRYO,FULL,NO,small,2,0.6,53047.9068508,578.783772742485,278.74243881990384,48.16003004008254,0
3964928,"76.97958333,  25.0008333",2004-02-14T09:17:48.172,CRYO,FULL,NO,small,3,0.6,53049.3873631,10.359408207641883,0.0,0.0,0
3964928,"76.99041667,  24.8919444",2004-02-14T09:17:48.172,CRYO,FULL,NO,small,3,0.6,53049.3873631,-1.046888683177876,1.165603768045444,-111.33980018842149,0
3964928,"76.61,  24.42638889",2004-02-14T09:17:48.172,CRYO,FULL,NO,small,3,0.6,53049.3873631,1.6361780949981704,0.0,0.0,0
3964928,"76.58166667,  24.6575",2004-02-14T09:17:48.172,CRYO,FULL,NO,small,3,0.6,53049.3873631,0.054456843118288065,0.0,0.0,0
3964928,"76.35875,  25.4125",2004-02-14T09:17:48.172,CRYO,FULL,NO,small,3,0.6,53049.3873631,0.20943093384988906,0.0,0.0,0
3965696,"74.00625,  30.45472222",2004-02-14T08:55:24.985,CRYO,FULL,NO,small,3,12.0,53049.371817,0.09987280119759316,0.0,0.0,0
3965696,"73.02791667,  30.7888888",2004-02-14T08:55:24.985,CRYO,FULL,NO,small,3,12.0,53049.371817,112.92723921683583,6.624447007035748,5.866119682883506,0
3965696,"73.03875,  30.67472222",2004-02-14T08:55:24.985,CRYO,FULL,NO,small,3,12.0,53049.371817,0.0025151563731738713,0.3652590455781308,14522.31954537328,0
4916992,"76.10291667,  25.1377777",2004-02-14T20:26:42.987,CRYO,FULL,NO,small,2,0.6,53049.8518864,-0.2881069314836315,0.15724735301614423,-54.57951053325425,0
4915456,"73.76458333,  30.5238888",2004-02-15T10:48:22.878,CRYO,FULL,NO,medium,3,0.6,53050.4502648,0.04917120212384052,0.009774698136248795,19.878908210603946,0
3966720,"71.76666667,  16.8988888",2004-03-06T20:30:05.632,CRYO,FULL,NO,small,3,12.0,53070.8542319,-0.7484071816297062,1.1690033130718578,-156.19883691205044,0
3963392,"67.75916667,  25.8325",2004-03-07T17:09:45.988,CRYO,FULL,NO,small,3,12.0,53071.7151156,0.2012179257132885,0.0,0.0,0
3963392,"67.68416667,  26.0230555",2004-03-07T17:09:45.988,CRYO,FULL,NO,small,3,12.0,53071.7151156,820.6552455708285,438.46148053456716,53.42821884110223,0
3963392,"67.70625,  25.91472222",2004-03-07T17:09:45.988,CRYO,FULL,NO,small,3,12.0,53071.7151156,0.4288952698252767,0.0,0.0,0
3963392,"67.53083333,  26.1397222",2004-03-07T17:09:45.988,CRYO,FULL,NO,small,3,12.0,53071.7151156,1.8848857465489366,0.586592033944205,31.120827085578235,0
3963392,"67.48625,  26.00055556",2004-03-07T17:09:45.988,CRYO,FULL,NO,small,3,12.0,53071.7151156,-0.0746939243045294,0.0,-0.0,0
3963392,"67.43375,  26.52888889",2004-03-07T17:09:45.988,CRYO,FULL,NO,small,3,12.0,53071.7151156,-0.12673253489252273,0.23854466617265987,-188.22685616993374,0
3963392,"67.33708333,  26.5608333",2004-03-07T17:09:45.988,CRYO,FULL,NO,small,3,12.0,53071.7151156,101.22413765181523,8.519732117219073,8.416700121985471,0
3963392,"67.29458333,  26.7069444",2004-03-07T17:09:45.988,CRYO,FULL,NO,small,3,12.0,53071.7151156,-0.09721996054822557,0.0,-0.0,0
3963392,"66.78291667,  25.5952777",2004-03-07T17:09:45.988,CRYO,FULL,NO,small,3,12.0,53071.7151156,1.057220115353851,0.0,0.0,0
3963392,"67.00916667,  26.2113888",2004-03-07T17:09:45.988,CRYO,FULL,NO,small,3,12.0,53071.7151156,-2.373344108385915,0.0,-0.0,0
3963648,"70.0575,  25.97916667",2004-03-07T16:06:41.637,CRYO,FULL,NO,small,2,12.0,53071.6713152,-1.644673686560999,0.0,-0.0,0
