AORKEY,Target Coordinates,DateObs,Mission,Read Mode,Workable/Total Files in AOR,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
11638016,"270.62808754,  58.627265",2004-07-18T23:03:55.314,CRYO,FULL,5/10,NO,--,--,0.4,53204.9610569,643.6235585724746,4.084772821254835,0.6346524714407067,0
11638272,"270.62808754,  58.627265",2004-07-28T18:11:37.724,CRYO,FULL,5/10,NO,--,--,0.4,53214.7580755,644.9185829333476,3.865709239643123,0.5994104282218589,0
11679488,"270.62808754,  58.627265",2004-06-18T02:12:34.004,CRYO,FULL,5/10,NO,--,--,0.4,53174.0920602,635.8971439206064,6.677113065806656,1.0500303594130174,0
11849216,"270.62808754,  58.627265",2004-08-11T22:22:35.555,CRYO,FULL,5/10,NO,--,--,0.4,53228.932356,640.9975738287854,5.827258162960607,0.909092077861297,0
11849984,"270.62808754,  58.627265",2004-08-18T18:52:42.963,CRYO,FULL,5/10,NO,--,--,0.4,53235.7866084,643.9452957452585,5.285568756274169,0.8208102134137049,0
11948800,"270.62808754,  58.627265",2004-09-02T10:58:30.506,CRYO,FULL,5/10,NO,--,--,0.4,53250.4572975,639.5776812948236,4.061620691147231,0.6350472835331727,0
11949056,"270.62808754,  58.627265",2004-09-13T17:30:22.601,CRYO,FULL,5/10,NO,--,--,0.4,53261.7294283,643.3533927495448,4.1022899550047764,0.6376417690862762,0
12164864,"270.62808754,  58.627265",2004-10-04T21:21:22.804,CRYO,FULL,5/10,NO,--,--,0.4,53282.8898473,640.5258356729746,3.337882635930145,0.5211160034510032,0
12165120,"270.62808754,  58.627265",2004-10-12T04:20:35.189,CRYO,FULL,5/10,NO,--,--,0.4,53290.1809628,642.8612411062271,5.68591788005942,0.8844704761287471,0
12272640,"270.62808754,  58.627265",2004-10-27T01:03:57.969,CRYO,FULL,5/10,NO,--,--,0.4,53305.0444209,641.92266094527,7.767102355515997,1.209974787940726,0
12272896,"270.62808754,  58.627265",2004-11-01T13:38:01.040,CRYO,FULL,5/10,NO,--,--,0.4,53310.5680676,641.3222007561181,2.927969037564974,0.45655195377813235,0
12829952,"270.62808754,  58.627265",2004-11-17T18:17:49.515,CRYO,FULL,5/10,NO,--,--,0.4,53326.7623786,641.9017577112087,4.134919408597602,0.6441670176042578,0
12846848,"270.62808754,  58.627265",2004-11-28T17:45:40.809,CRYO,FULL,5/10,NO,--,--,0.4,53337.7400557,636.0564300104949,1.25858358317158,0.1978729439384511,0
12965632,"270.62808754,  58.627265",2004-12-14T20:24:13.894,CRYO,FULL,5/10,NO,--,--,0.4,53353.8501608,639.5251482840906,2.466522640817037,0.38568032038067024,0
12965888,"270.62808754,  58.627265",2004-12-21T17:47:53.319,CRYO,FULL,5/10,NO,--,--,0.4,53360.7415893,641.4657605713162,5.279455536125777,0.8230299823678311,0
13096448,"270.62808754,  58.627265",2005-01-15T21:32:21.276,CRYO,FULL,5/10,NO,--,--,0.4,53385.8974685,638.7032584645706,4.214168209735645,0.6598006435518143,0
13096704,"270.62808754,  58.627265",2005-01-22T17:33:27.856,CRYO,FULL,5/10,NO,--,--,0.4,53392.7315724,637.1544185924222,3.1063600341619013,0.48753645011586927,0
13221120,"270.62808754,  58.627265",2005-02-18T22:00:47.255,CRYO,FULL,5/10,NO,--,--,0.4,53419.9172136,640.1699362304996,4.834308342555978,0.7551601643497574,0
13221376,"270.62808754,  58.627265",2005-02-25T16:20:56.471,CRYO,FULL,5/10,NO,--,--,0.4,53426.6812092,638.5308378081667,6.085444357665363,0.9530384434609889,0
