AORKEY,DateObs,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%)
37651968,2009-07-29T06:26:03.976,NO,--,--,2.0,55041.2681016,37.28156345850137,0.7090462879938262,1.9018684363467633
37809408,2009-08-05T23:56:24.364,NO,--,--,2.0,55048.9975042,37.78516606387862,0.5227454443703137,1.3834673731129665
37816064,2009-08-14T07:42:27.553,NO,--,--,2.0,55057.3211522,37.23236945856207,0.8331382203117267,2.237671769020695
37818368,2009-08-20T16:16:32.365,NO,--,--,2.0,55063.6781524,37.35897676500437,1.0721838754701312,2.869949790687223
37851648,2009-08-26T13:00:36.423,NO,--,--,2.0,55069.5420882,37.59191160702596,0.3469150886577687,0.9228450318895992
37913856,2009-09-10T17:11:49.332,NO,--,--,2.0,55084.7165432,37.201523669840796,0.531146056383542,1.4277535003603656
37996800,2009-09-24T08:53:29.194,NO,--,--,2.0,55098.3704768,39.19207184584791,0.7138884693333956,1.821512453185162
37997056,2009-10-01T22:48:09.347,NO,--,--,2.0,55105.9501082,39.201667517710874,0.3536938122783525,0.9022417531564381
38052352,2009-10-08T08:08:22.181,NO,--,--,2.0,55112.3391456,39.00832844704741,0.5697574373479137,1.4606045940198173
38067712,2009-10-21T23:12:38.170,NO,--,--,2.0,55125.9671085,39.454634251207736,0.39062916844696977,0.9900717009815199
38091520,2009-11-06T09:30:56.184,NO,--,--,2.0,55141.3964836,39.48363921722127,0.48473067071643117,1.2276747542182231
38157568,2009-11-20T01:32:14.116,NO,--,--,2.0,55155.0640523,39.18627032785908,0.5568591088222478,1.4210566715412936
38171648,2009-12-04T00:41:17.386,NO,--,--,2.0,55169.0286734,39.24663273685043,0.9195022809918107,2.3428819668609395
38402816,2009-12-18T00:29:58.782,NO,--,--,2.0,55183.0208192,39.2051934510297,0.8197477103188444,2.0909161214642964
38418944,2009-12-31T11:10:15.964,NO,--,--,2.0,55196.4654625,39.460878156401485,0.45080366240967423,1.1424065643519978
38686720,2010-01-15T23:16:27.236,NO,--,--,2.0,55211.9697597,39.86673567819666,0.7929921246588081,1.989107237321414
38705664,2010-01-29T12:18:36.161,NO,--,--,2.0,55225.5129185,39.30450390591574,0.3058153317818004,0.7780668915548176
38817792,2010-02-12T11:04:40.987,NO,--,--,2.0,55239.4615855,39.080361621997625,0.37624005931657295,0.9627343343332685
38924800,2010-02-26T12:02:23.989,NO,--,--,2.0,55253.5016665,39.26600358553674,0.5317488741070856,1.3542220382798271
39099136,2010-03-12T16:30:42.779,NO,--,--,2.0,55267.6879951,39.453492934617444,0.28169753381689566,0.7139989716087406
