AORKEY,DateObs,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
37651456,2009-07-29T06:30:36.776,NO,--,--,0.4,55041.271259,626.7635534256096,11.037279528504333,1.7609957484253023,0
37808896,2009-08-06T00:01:04.969,NO,--,--,0.4,55049.000752,620.1246055406577,6.2769273750622,1.0122042116986536,0
37815552,2009-08-14T07:52:51.740,NO,--,--,0.4,55057.3283766,612.7674928406343,11.019385947383272,1.798298061847276,0
37817856,2009-08-20T16:31:23.336,NO,--,--,0.4,55063.6884645,620.740466119965,7.199275294076609,1.1597882991384145,0
37851136,2009-08-26T13:15:20.012,NO,--,--,0.4,55069.552315,619.1915872028205,9.43736293367065,1.5241426286658148,0
37913344,2009-09-10T17:16:30.730,NO,--,--,0.4,55084.7198001,618.6066058307724,6.574625885588759,1.0628121044325431,0
37994240,2009-09-24T08:58:03.592,NO,--,--,0.4,55098.3736527,650.6156134542449,4.664757699830782,0.7169759844933132,0
37994496,2009-10-01T22:52:41.347,NO,--,--,0.4,55105.9532563,652.6047408779946,6.804698533018953,1.0426982991058442,0
38051840,2009-10-08T08:23:08.168,NO,--,--,0.4,55112.3494001,652.8139303568755,9.670824083895688,1.4814059005464104,0
38067200,2009-10-21T23:26:58.962,NO,--,--,0.4,55125.9770713,655.1674275809498,8.57765593003952,1.3092311322176802,0
38091008,2009-11-06T09:46:02.172,NO,--,--,0.4,55141.4069696,651.660542129933,9.885729407577355,1.5170059821738084,0
38157056,2009-11-20T01:46:58.513,NO,--,--,0.4,55155.0742883,650.7530567159968,4.4947504081285885,0.6906998533070584,0
38171136,2009-12-04T00:56:07.787,NO,--,--,0.4,55169.038979,653.6127359101314,9.677043009112213,1.4805468861675852,0
38402304,2009-12-18T00:34:42.785,NO,--,--,0.4,55183.0241063,653.4540330238012,7.8320885298505205,1.198567632004384,0
38418432,2009-12-31T11:24:37.549,NO,--,--,0.4,55196.4754346,654.2747865645678,6.836301062042008,1.0448669584132537,0
38686208,2010-01-15T23:30:51.219,NO,--,--,0.4,55211.9797595,654.2847600340206,10.456449912842087,1.5981496974342468,0
38705152,2010-01-29T12:33:13.741,NO,--,--,0.4,55225.5230757,650.7152084550951,6.276456489784775,0.9645473792884163,0
38817280,2010-02-12T11:19:50.170,NO,--,--,0.4,55239.4721084,659.0207299696403,10.752399232969735,1.631572231948618,0
38924288,2010-02-26T12:17:01.981,NO,--,--,0.4,55253.5118285,654.7702055218169,6.6034115433856515,1.0085082503293021,0
39098624,2010-03-12T16:45:28.774,NO,--,--,0.4,55267.6982497,649.7158663896696,4.045086506801843,0.6225931543398366,0
39119616,2010-03-26T02:54:28.592,NO,--,--,0.4,55281.1211643,643.7916087307044,4.174441743592551,0.6484150596219878,0
39140608,2010-04-09T08:53:25.282,NO,--,--,0.4,55295.3704315,650.3287478305947,7.265265950387723,1.1171681975652512,0
39212032,2010-04-23T03:07:25.268,NO,--,--,0.4,55309.1301536,650.7730246108412,15.658793033789149,2.4061834835813953,0
39226368,2010-05-07T12:43:56.979,NO,--,--,0.4,55323.5305206,651.1003926332655,4.91749771416989,0.7552595221578506,0
39346176,2010-05-21T01:58:06.835,NO,--,--,0.4,55337.0820236,652.1118287352281,9.376710830033753,1.4378992094377276,0
39363584,2010-06-05T11:07:25.005,NO,--,--,0.4,55352.4634839,656.4557336906403,6.356901213866965,0.9683670790912311,0
39422976,2010-06-16T22:34:37.981,NO,--,--,0.4,55363.9407174,657.6016131569521,6.868887088276168,1.0445362284469861,0
39448576,2010-07-03T12:31:51.157,NO,--,--,0.4,55380.5221199,653.0571278648529,3.2426598973239273,0.496535411522984,0
39527680,2010-07-15T22:59:50.962,NO,--,--,0.4,55392.9582287,652.6890007301747,8.440448755682745,1.2931807869046767,0
39545088,2010-07-31T02:21:15.691,NO,--,--,0.4,55408.0980983,650.5921453161432,7.278943195850289,1.1188181794468517,0
40253696,2010-08-12T19:27:50.348,NO,--,--,0.4,55420.8109994,650.5657784034205,10.582475806846718,1.6266573124730899,0
40270080,2010-08-27T05:50:37.434,NO,--,--,0.4,55435.2434888,651.3719042178044,6.435884562913926,0.9880506852137588,0
40314368,2010-09-09T19:00:17.204,NO,--,--,0.4,55448.7918658,651.1234350113934,7.558283421308084,1.1608065406485988,0
41011456,2010-09-25T19:15:33.613,NO,--,--,0.4,55464.8024724,649.3342908593912,19.87721719764858,3.061168565630681,0
41089792,2010-10-07T18:24:46.932,NO,--,--,0.4,55476.7672099,651.4608000973981,6.538646973268501,1.0036900105564182,0
41167360,2010-10-23T07:28:08.652,NO,--,--,0.4,55492.3112113,654.6523848389054,6.64423088120414,1.0149250251091853,0
41221120,2010-11-04T20:17:03.534,NO,--,--,0.4,55504.8451798,651.2701769324341,5.36842903695152,0.8243013770778678,0
41242880,2010-11-20T09:02:19.561,NO,--,--,0.4,55520.3766153,651.0878576497714,3.184276428456055,0.4890701602008555,0
41395200,2010-12-03T12:13:53.827,NO,--,--,0.4,55533.5096508,655.4526209391687,6.656742773137904,1.0155948058609876,0
41422592,2010-12-19T00:43:31.787,NO,--,--,0.4,55549.030229,652.5418309040714,7.446893709935402,1.1412132306702882,0
41422592,2010-12-19T00:43:31.787,NO,--,--,0.4,55549.030229,652.5418309040714,7.446893709935402,1.1412132306702882,0
41422592,2010-12-19T00:43:31.787,NO,--,--,0.4,55549.030229,652.5418309040714,7.446893709935402,1.1412132306702882,0
41422592,2010-12-19T00:43:31.787,NO,--,--,0.4,55549.030229,652.5418309040714,7.446893709935402,1.1412132306702882,0
