AORKEY,Target RA,Target Dec,DateObs,Mission,Read Mode,Workable/Total Files in AOR,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
3963904,71.67625,24.982777777777777,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,71.69416666666666,24.8725,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,71.12916666666665,25.20583333333333,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,71.14541666666666,25.09722222222222,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,70.76416666666665,25.33611111111111,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,70.77999999999999,25.228888888888886,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,70.65833333333333,25.258055555555554,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,70.67249999999999,25.148333333333333,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,70.58958333333332,25.340555555555554,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,70.60333333333332,25.231388888888887,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,70.53166666666665,25.38138888888889,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,70.54666666666667,25.272499999999997,2004-02-09T21:08:54.292,CRYO,FULL,1/120,NO,small,2,12.0,53044.8811839,-0.31629232704760546,0.0,-0.0,0
3963904,70.26875,24.850555555555555,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,70.28625,24.739444444444445,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,70.41541666666666,25.938055555555557,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,70.42666666666666,25.83,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,70.30333333333333,25.77722222222222,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,70.32083333333333,25.664166666666667,2004-02-09T21:08:54.292,CRYO,FULL,1/120,NO,small,2,12.0,53044.8811839,0.18009222469628722,0.0,0.0,0
3963904,70.20833333333333,25.855,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3963904,70.2225,25.743333333333336,2004-02-09T21:08:54.292,CRYO,FULL,0/120,NO,small,2,12.0,53044.8811839,nan,nan,nan,0
3965440,71.95416666666667,29.41916666666667,2004-02-09T21:36:45.661,CRYO,FULL,0/36,NO,small,2,12.0,53044.9005285,nan,nan,nan,0
3965440,71.96333333333332,29.307222222222222,2004-02-09T21:36:45.661,CRYO,FULL,1/36,NO,small,2,12.0,53044.9005285,0.05584289836650864,0.0,0.0,0
3965440,70.835,29.66888888888889,2004-02-09T21:36:45.661,CRYO,FULL,5/36,NO,small,2,12.0,53044.9005285,70.61656239126911,5.727797627589218,8.111124973561996,0
3965440,70.84833333333333,29.55527777777778,2004-02-09T21:36:45.661,CRYO,FULL,1/36,NO,small,2,12.0,53044.9005285,0.6749298182337826,0.0,0.0,0
3965440,70.32374999999999,28.663888888888888,2004-02-09T21:36:45.661,CRYO,FULL,0/36,NO,small,2,12.0,53044.9005285,nan,nan,nan,0
3965440,70.33208333333333,28.555,2004-02-09T21:36:45.661,CRYO,FULL,0/36,NO,small,2,12.0,53044.9005285,nan,nan,nan,0
3967488,63.69875,26.789444444444445,2004-02-10T22:11:34.733,CRYO,FULL,1/12,NO,small,3,0.6,53045.9247076,-0.6251980699870978,0.0,-0.0,0
3967488,63.72166666666666,26.677222222222223,2004-02-10T22:11:34.733,CRYO,FULL,0/12,NO,small,3,0.6,53045.9247076,nan,nan,nan,0
3967232,61.16416666666665,21.972777777777775,2004-02-11T10:13:41.573,CRYO,FULL,3/12,NO,small,2,12.0,53046.4261756,67.65378192461145,2.145392897931626,3.1711352076699852,0
3967232,61.19124999999998,21.86138888888889,2004-02-11T10:13:41.573,CRYO,FULL,0/12,NO,small,2,12.0,53046.4261756,nan,nan,nan,0
3966464,76.95708333333332,30.401944444444442,2004-02-12T21:45:51.912,CRYO,FULL,6/12,NO,small,2,0.6,53047.9068508,578.783772742485,278.74243881990384,48.16003004008254,0
3966464,76.96374999999998,30.28805555555556,2004-02-12T21:45:51.912,CRYO,FULL,0/12,NO,small,2,0.6,53047.9068508,nan,nan,nan,0
3964928,76.97958333333332,25.000833333333333,2004-02-14T09:17:48.172,CRYO,FULL,1/72,NO,small,3,0.6,53049.3873631,10.359408207641883,0.0,0.0,0
3964928,76.99041666666665,24.891944444444444,2004-02-14T09:17:48.172,CRYO,FULL,2/72,NO,small,3,0.6,53049.3873631,-1.046888683177876,1.165603768045444,-111.33980018842149,0
3964928,76.80166666666666,24.61888888888889,2004-02-14T09:17:48.172,CRYO,FULL,0/72,NO,small,3,0.6,53049.3873631,nan,nan,nan,0
3964928,76.81333333333332,24.511111111111113,2004-02-14T09:17:48.172,CRYO,FULL,0/72,NO,small,3,0.6,53049.3873631,nan,nan,nan,0
3964928,76.59916666666665,24.53805555555556,2004-02-14T09:17:48.172,CRYO,FULL,0/72,NO,small,3,0.6,53049.3873631,nan,nan,nan,0
3964928,76.60999999999999,24.42638888888889,2004-02-14T09:17:48.172,CRYO,FULL,1/72,NO,small,3,0.6,53049.3873631,1.6361780949981704,0.0,0.0,0
3964928,76.57208333333332,24.76722222222222,2004-02-14T09:17:48.172,CRYO,FULL,0/72,NO,small,3,0.6,53049.3873631,nan,nan,nan,0
3964928,76.58166666666665,24.6575,2004-02-14T09:17:48.172,CRYO,FULL,1/72,NO,small,3,0.6,53049.3873631,0.054456843118288065,0.0,0.0,0
3964928,76.34583333333332,25.52611111111111,2004-02-14T09:17:48.172,CRYO,FULL,0/72,NO,small,3,0.6,53049.3873631,nan,nan,nan,0
3964928,76.35874999999999,25.412499999999998,2004-02-14T09:17:48.172,CRYO,FULL,1/72,NO,small,3,0.6,53049.3873631,0.20943093384988906,0.0,0.0,0
3964928,76.17583333333333,25.16222222222222,2004-02-14T09:17:48.172,CRYO,FULL,0/72,NO,small,3,0.6,53049.3873631,nan,nan,nan,0
3964928,76.18333333333332,25.053611111111113,2004-02-14T09:17:48.172,CRYO,FULL,0/72,NO,small,3,0.6,53049.3873631,nan,nan,nan,0
3965696,74.0,30.56388888888889,2004-02-14T08:55:24.985,CRYO,FULL,0/84,NO,small,3,12.0,53049.371817,nan,nan,nan,0
3965696,74.00625,30.454722222222223,2004-02-14T08:55:24.985,CRYO,FULL,1/84,NO,small,3,12.0,53049.371817,0.09987280119759316,0.0,0.0,0
3965696,73.94291666666666,30.550833333333333,2004-02-14T08:55:24.985,CRYO,FULL,0/84,NO,small,3,12.0,53049.371817,nan,nan,nan,0
3965696,73.94958333333332,30.43861111111111,2004-02-14T08:55:24.985,CRYO,FULL,0/84,NO,small,3,12.0,53049.371817,nan,nan,nan,0
3965696,74.00958333333332,30.348888888888887,2004-02-14T08:55:24.985,CRYO,FULL,0/84,NO,small,3,12.0,53049.371817,nan,nan,nan,0
3965696,74.01625,30.238611111111112,2004-02-14T08:55:24.985,CRYO,FULL,0/84,NO,small,3,12.0,53049.371817,nan,nan,nan,0
3965696,73.90541666666667,30.29638888888889,2004-02-14T08:55:24.985,CRYO,FULL,0/84,NO,small,3,12.0,53049.371817,nan,nan,nan,0
3965696,73.91499999999999,30.188333333333333,2004-02-14T08:55:24.985,CRYO,FULL,0/84,NO,small,3,12.0,53049.371817,nan,nan,nan,0
3965696,73.79791666666667,30.36388888888889,2004-02-14T08:55:24.985,CRYO,FULL,0/84,NO,small,3,12.0,53049.371817,nan,nan,nan,0
3965696,73.80499999999999,30.254166666666666,2004-02-14T08:55:24.985,CRYO,FULL,0/84,NO,small,3,12.0,53049.371817,nan,nan,nan,0
3965696,73.02791666666667,30.78888888888889,2004-02-14T08:55:24.985,CRYO,FULL,2/84,NO,small,3,12.0,53049.371817,112.92723921683583,6.624447007035748,5.866119682883506,0
3965696,73.03875,30.674722222222222,2004-02-14T08:55:24.985,CRYO,FULL,2/84,NO,small,3,12.0,53049.371817,0.0025151563731738713,0.3652590455781308,14522.31954537328,0
3965696,72.94999999999999,30.784166666666668,2004-02-14T08:55:24.985,CRYO,FULL,0/84,NO,small,3,12.0,53049.371817,nan,nan,nan,0
3965696,72.95624999999998,30.67527777777778,2004-02-14T08:55:24.985,CRYO,FULL,0/84,NO,small,3,12.0,53049.371817,nan,nan,nan,0
4915200,73.76458333333332,30.523888888888887,2004-02-14T09:57:48.547,CRYO,FULL,0/120,NO,small,1,0.6,53049.4151452,nan,nan,nan,0
4916992,76.10291666666666,25.137777777777778,2004-02-14T20:26:42.987,CRYO,FULL,3/60,NO,small,2,0.6,53049.8518864,-0.2881069314836315,0.15724735301614423,-54.57951053325425,0
4915456,73.76458333333332,30.523888888888887,2004-02-15T10:48:22.878,CRYO,FULL,2/120,NO,medium,3,0.6,53050.4502648,0.04917120212384052,0.009774698136248795,19.878908210603946,0
4917248,76.10291666666666,25.137777777777778,2004-02-16T21:29:48.563,CRYO,FULL,0/60,NO,medium,4,0.6,53051.895701,nan,nan,nan,0
3966720,71.74833333333332,17.011666666666667,2004-03-06T20:30:05.632,CRYO,FULL,0/12,NO,small,3,12.0,53070.8542319,nan,nan,nan,0
3966720,71.76666666666667,16.898888888888887,2004-03-06T20:30:05.632,CRYO,FULL,2/12,NO,small,3,12.0,53070.8542319,-0.7484071816297062,1.1690033130718578,-156.19883691205044,0
3963392,67.73749999999998,25.94361111111111,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,67.75916666666664,25.8325,2004-03-07T17:09:45.988,CRYO,FULL,1/192,NO,small,3,12.0,53071.7151156,0.2012179257132885,0.0,0.0,0
3963392,67.68416666666666,26.023055555555555,2004-03-07T17:09:45.988,CRYO,FULL,6/192,NO,small,3,12.0,53071.7151156,820.6552455708285,438.46148053456716,53.42821884110223,0
3963392,67.70625,25.91472222222222,2004-03-07T17:09:45.988,CRYO,FULL,1/192,NO,small,3,12.0,53071.7151156,0.4288952698252767,0.0,0.0,0
3963392,67.53083333333333,26.139722222222222,2004-03-07T17:09:45.988,CRYO,FULL,5/192,NO,small,3,12.0,53071.7151156,1.8848857465489366,0.586592033944205,31.120827085578235,0
3963392,67.55291666666665,26.02611111111111,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,67.46416666666667,26.11138888888889,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,67.48624999999998,26.000555555555554,2004-03-07T17:09:45.988,CRYO,FULL,1/192,NO,small,3,12.0,53071.7151156,-0.0746939243045294,0.0,-0.0,0
3963392,67.37541666666667,26.279166666666665,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,67.39666666666666,26.172222222222224,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,67.43374999999999,26.528888888888886,2004-03-07T17:09:45.988,CRYO,FULL,2/192,NO,small,3,12.0,53071.7151156,-0.12673253489252273,0.23854466617265987,-188.22685616993374,0
3963392,67.45333333333333,26.42027777777778,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,67.33708333333333,26.560833333333335,2004-03-07T17:09:45.988,CRYO,FULL,6/192,NO,small,3,12.0,53071.7151156,101.22413765181523,8.519732117219073,8.416700121985471,0
3963392,67.35624999999999,26.45,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,67.27125,26.819444444444443,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,67.29458333333334,26.706944444444442,2004-03-07T17:09:45.988,CRYO,FULL,1/192,NO,small,3,12.0,53071.7151156,-0.09721996054822557,0.0,-0.0,0
3963392,67.81083333333332,27.1725,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,67.83208333333332,27.060277777777777,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,66.76291666666665,25.704166666666666,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,66.78291666666665,25.595277777777778,2004-03-07T17:09:45.988,CRYO,FULL,1/192,NO,small,3,12.0,53071.7151156,1.057220115353851,0.0,0.0,0
3963392,66.74708333333334,26.10666666666667,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,66.76749999999998,25.999166666666667,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,66.86541666666666,26.200555555555553,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,66.88916666666667,26.090555555555554,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,66.99249999999999,26.319444444444443,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,67.00916666666666,26.211388888888887,2004-03-07T17:09:45.988,CRYO,FULL,1/192,NO,small,3,12.0,53071.7151156,-2.373344108385915,0.0,-0.0,0
3963392,66.6225,26.40111111111111,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
3963392,66.64458333333333,26.293333333333337,2004-03-07T17:09:45.988,CRYO,FULL,0/192,NO,small,3,12.0,53071.7151156,nan,nan,nan,0
