File#,Coord Conversion Issue,Centroiding Issue,Bad Center Guess,Not In FOV,Ap Out Of Bound,Xc,Yc,Fx,Fy,Time[MJD],Raw_Flux,Bkg_Flux,Res_Flux
1,N,N,N,N,Y,9.569435452531831,17.130643856329357,1.8093521186715895,1.4180461692949269,53819.0930445,nan,nan,nan
2,N,N,N,N,Y,11.592025080639855,23.66569048837583,1.7315789211078538,1.9288674496525708,53819.0931672,nan,nan,nan
3,Y,N,N,N,N,nan,nan,nan,nan,53819.095576,nan,nan,nan
4,N,N,N,N,Y,16.23151619908927,7.903949847387776,1.2030723781717203,1.342827848434306,53819.0937806,nan,nan,nan
5,Y,N,N,N,N,nan,nan,nan,nan,53819.0963352,nan,nan,nan
6,Y,N,N,N,N,nan,nan,nan,nan,53819.0989125,nan,nan,nan
7,Y,N,N,N,N,nan,nan,nan,nan,53819.0992808,nan,nan,nan
8,Y,N,N,N,N,nan,nan,nan,nan,53819.0990351,nan,nan,nan
9,Y,N,N,N,N,nan,nan,nan,nan,53819.1018907,nan,nan,nan
10,Y,N,N,N,N,nan,nan,nan,nan,53819.1016451,nan,nan,nan
11,N,N,N,N,Y,12.001406257006337,7.073680535376557,1.5582395243265663,1.0304944574809254,53819.0927763,nan,nan,nan
12,N,N,N,N,N,21.3076459181636,10.537158750169507,1.5914353131566454,1.8519075138984047,53819.0936579,345113.4435364394,8544.312208644991,336569.1313277944
13,Y,N,N,N,N,nan,nan,nan,nan,53819.0958447,nan,nan,nan
14,Y,N,N,N,N,nan,nan,nan,nan,53819.0960896,nan,nan,nan
15,Y,N,N,N,N,nan,nan,nan,nan,53819.0986673,nan,nan,nan
16,Y,N,N,N,N,nan,nan,nan,nan,53819.0962124,nan,nan,nan
17,Y,N,N,N,N,nan,nan,nan,nan,53819.0985447,nan,nan,nan
18,Y,N,N,N,N,nan,nan,nan,nan,53819.0994042,nan,nan,nan
19,N,N,N,N,Y,16.220235115525593,22.174117441141124,1.2596883217111703,1.484014689956676,53819.0932899,nan,nan,nan
20,Y,N,N,N,N,nan,nan,nan,nan,53819.101768,nan,nan,nan
21,Y,N,N,N,N,nan,nan,nan,nan,53819.1020136,nan,nan,nan
22,Y,N,N,N,N,nan,nan,nan,nan,53819.0964578,nan,nan,nan
23,Y,N,N,N,N,nan,nan,nan,nan,53819.0959669,nan,nan,nan
24,Y,N,N,N,N,nan,nan,nan,nan,53819.0965804,nan,nan,nan
25,Y,N,N,N,N,nan,nan,nan,nan,53819.1014004,nan,nan,nan
26,Y,N,N,N,N,nan,nan,nan,nan,53819.1015227,nan,nan,nan
27,Y,N,N,N,N,nan,nan,nan,nan,53819.1012546,nan,nan,nan
28,Y,N,N,N,N,nan,nan,nan,nan,53819.102136,nan,nan,nan
29,N,N,N,N,Y,22.0353706210335,19.905861892659722,1.4152290058456545,1.0801064974228118,53819.0934128,nan,nan,nan
30,N,N,N,N,Y,9.985952273497013,12.48123684738248,1.823018846562145,1.411259516023854,53819.0929227,nan,nan,nan
31,Y,N,N,N,N,nan,nan,nan,nan,53819.0983986,nan,nan,nan
32,N,N,N,N,Y,25.820674168726025,15.90633528522699,1.3190040380156525,1.5551226427357843,53819.0935362,nan,nan,nan
33,Y,N,N,N,N,nan,nan,nan,nan,53819.0957217,nan,nan,nan
