AORKEY,Target RA,Target Dec,DateObs,Mission,Read Mode,Workable/Total Files in AOR,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
13856000,241.359375,-19.805167,2006-03-25T02:27:15.135,CRYO,SUB,1/36,NO,large,9,0.02,53819.1022585,12189.912318437147,0.0,0.0,0
13857024,242.998917,-19.460583,2006-03-29T16:37:33.459,CRYO,SUB,2/45,NO,large,9,0.02,53823.6927484,5664.8831163911655,15.70094639455283,0.27716275997156276,0
13858048,237.744792,-25.751278,2006-03-28T14:34:06.656,CRYO,SUB,2/27,NO,large,7,0.02,53822.6070215,2055.4919845272943,1.978875227888011,0.09627258304989679,0
13858560,238.474667,-24.533111,2006-03-28T14:42:29.061,CRYO,SUB,2/18,NO,large,9,0.02,53822.6128364,1250.3802230685892,6.860359026757919,0.5486618310326231,0
13860352,238.673333,-22.76625,2006-03-25T01:53:48.036,CRYO,SUB,2/36,NO,large,7,0.02,53819.0790282,366.5950466933446,3.446669715138057,0.940184475002245,0
13861376,240.481125,-21.980444,2006-03-25T02:39:01.921,CRYO,SUB,2/27,NO,large,4,0.02,53819.1104389,315.03468724859454,6.097462568611348,1.9354892700434057,0
13856256,243.593208,-33.011056,2005-08-24T05:58:56.665,CRYO,SUB,2/9,NO,large,5,0.02,53606.249267,6924.069401310904,57.87880438404636,0.8359073404591874,0
13856512,239.712958,-26.114083,2005-08-24T01:04:03.938,CRYO,SUB,3/9,NO,large,8,0.02,53606.04449,6959.463986853109,28.84925615526408,0.4145327313965881,0
13856768,248.970667,-28.216028,2005-08-24T05:33:06.787,CRYO,SUB,2/9,NO,large,9,0.02,53606.2313286,6181.282525431197,88.36528028319071,1.429562229515249,0
13857536,239.221125,-29.214111,2005-08-24T06:28:29.983,CRYO,SUB,3/9,NO,large,7,0.02,53606.2697915,2750.9328808808573,11.507855849482686,0.41832557709651697,0
13858304,243.075875,-27.926389,2005-08-24T05:48:35.273,CRYO,SUB,2/9,NO,large,6,0.02,53606.2420749,1725.7432859517808,19.964155578481268,1.156843879445873,0
13858816,239.645292,-24.831444,2005-08-23T23:58:41.853,CRYO,SUB,3/18,NO,large,2,0.02,53605.9990955,921.5536988509084,13.25363082377263,1.4381832377536625,0
13859072,239.418583,-20.983111,2005-08-24T00:07:02.230,CRYO,SUB,3/9,NO,large,4,0.02,53606.0048869,897.4282372381422,11.889491711765174,1.3248403848262433,0
13859328,241.526583,-23.606278,2005-08-24T01:46:31.738,CRYO,SUB,2/27,NO,large,2,0.02,53606.0739784,742.9970279536183,11.731061935204423,1.5788840996463227,0
13859584,243.439542,-24.422111,2005-08-24T07:07:19.367,CRYO,SUB,2/18,NO,large,9,0.02,53606.2967519,646.2281688381976,1.09024255221982,0.16870860862965487,0
13859840,238.625458,-27.338639,2005-08-24T06:42:32.262,CRYO,SUB,3/9,NO,large,7,0.02,53606.2795401,511.3882461353441,6.499943313744935,1.2710388560680095,0
13861632,245.986333,-33.199389,2005-08-24T06:05:31.187,CRYO,SUB,0/9,NO,large,1,0.02,53606.2538332,nan,nan,nan,0
13862400,239.497292,-31.728944,2005-08-24T06:23:52.672,CRYO,SUB,2/9,NO,large,7,0.02,53606.2665819,261.3970664695639,5.100403071779084,1.95120899429564,0
13862656,244.567375,-28.041694,2005-08-24T05:41:44.786,CRYO,SUB,3/9,NO,large,6,0.02,53606.2373239,265.63424743648125,9.041621560681408,3.4037860885552607,0
13862912,246.461083,-26.568417,2005-08-24T05:37:44.091,CRYO,SUB,2/9,NO,large,9,0.02,53606.2345381,281.21709170356786,6.02413647523997,2.1421658401865695,0
13863168,244.210917,-25.862972,2005-08-24T01:52:07.221,CRYO,SUB,3/9,NO,large,7,0.02,53606.0778614,279.15392540971226,2.5575787576505795,0.9161894298626964,0
13863936,235.380083,-25.343417,2005-08-24T06:47:04.163,CRYO,SUB,2/9,NO,large,6,0.02,53606.2826871,245.20915637841466,8.920417783298973,3.6378811929570434,0
