AOR Filepath,Target Coordinates
/data1/phot_cal/spitzer/ngc2420/r16272384,114.555525 21.5055561111
/data1/phot_cal/spitzer/ngc2420/r16272384,114.557745833 21.5483188889
/data1/phot_cal/spitzer/ngc2420/r16272384,114.563670833 21.6280783333
/data1/phot_cal/spitzer/ngc2420/r16272384,114.572554167 21.4750002778
/data1/phot_cal/spitzer/ngc2420/r16272384,114.602816667 21.5772380556
/data1/phot_cal/spitzer/ngc2420/r16272384,114.647841667 21.6384333333
/data1/phot_cal/spitzer/ngc2420/r16272384,114.698383333 21.5966052778
/data1/phot_cal/spitzer/ngc2420/r16272384,114.511483333 21.5158444444
/data1/phot_cal/spitzer/ngc2420/r16272384,114.567116667 21.54187
/data1/phot_cal/spitzer/ngc2420/r16272384,114.571095833 21.6060658333
/data1/phot_cal/spitzer/ngc2420/r16272384,114.593583333 21.6154080556
/data1/phot_cal/spitzer/ngc2420/r16272384,114.618616667 21.5580577778
/data1/phot_cal/spitzer/ngc2420/r38111232,114.555525 21.5055561111
/data1/phot_cal/spitzer/ngc2420/r38111232,114.557745833 21.5483188889
/data1/phot_cal/spitzer/ngc2420/r38111232,114.563670833 21.6280783333
/data1/phot_cal/spitzer/ngc2420/r38111232,114.572554167 21.4750002778
/data1/phot_cal/spitzer/ngc2420/r38111232,114.602816667 21.5772380556
/data1/phot_cal/spitzer/ngc2420/r38111232,114.647841667 21.6384333333
/data1/phot_cal/spitzer/ngc2420/r38111232,114.698383333 21.5966052778
/data1/phot_cal/spitzer/ngc2420/r38111232,114.511483333 21.5158444444
/data1/phot_cal/spitzer/ngc2420/r38111232,114.567116667 21.54187
/data1/phot_cal/spitzer/ngc2420/r38111232,114.571095833 21.6060658333
/data1/phot_cal/spitzer/ngc2420/r38111232,114.593583333 21.6154080556
/data1/phot_cal/spitzer/ngc2420/r38111232,114.618616667 21.5580577778
/data1/phot_cal/spitzer/ngc2420/r42490880,114.555525 21.5055561111
/data1/phot_cal/spitzer/ngc2420/r42490880,114.557745833 21.5483188889
/data1/phot_cal/spitzer/ngc2420/r42490880,114.563670833 21.6280783333
/data1/phot_cal/spitzer/ngc2420/r42490880,114.572554167 21.4750002778
/data1/phot_cal/spitzer/ngc2420/r42490880,114.602816667 21.5772380556
/data1/phot_cal/spitzer/ngc2420/r42490880,114.647841667 21.6384333333
/data1/phot_cal/spitzer/ngc2420/r42490880,114.698383333 21.5966052778
/data1/phot_cal/spitzer/ngc2420/r42490880,114.511483333 21.5158444444
/data1/phot_cal/spitzer/ngc2420/r42490880,114.567116667 21.54187
/data1/phot_cal/spitzer/ngc2420/r42490880,114.571095833 21.6060658333
/data1/phot_cal/spitzer/ngc2420/r42490880,114.593583333 21.6154080556
/data1/phot_cal/spitzer/ngc2420/r42490880,114.618616667 21.5580577778
/data1/phot_cal/spitzer/ngc2420/r47021056,114.555525 21.5055561111
/data1/phot_cal/spitzer/ngc2420/r47021056,114.557745833 21.5483188889
/data1/phot_cal/spitzer/ngc2420/r47021056,114.563670833 21.6280783333
/data1/phot_cal/spitzer/ngc2420/r47021056,114.572554167 21.4750002778
/data1/phot_cal/spitzer/ngc2420/r47021056,114.602816667 21.5772380556
/data1/phot_cal/spitzer/ngc2420/r47021056,114.647841667 21.6384333333
/data1/phot_cal/spitzer/ngc2420/r47021056,114.698383333 21.5966052778
/data1/phot_cal/spitzer/ngc2420/r47021056,114.511483333 21.5158444444
/data1/phot_cal/spitzer/ngc2420/r47021056,114.567116667 21.54187
/data1/phot_cal/spitzer/ngc2420/r47021056,114.571095833 21.6060658333
/data1/phot_cal/spitzer/ngc2420/r47021056,114.593583333 21.6154080556
/data1/phot_cal/spitzer/ngc2420/r47021056,114.618616667 21.5580577778
/data1/phot_cal/spitzer/ngc2420/r47021312,114.555525 21.5055561111
/data1/phot_cal/spitzer/ngc2420/r47021312,114.557745833 21.5483188889
/data1/phot_cal/spitzer/ngc2420/r47021312,114.563670833 21.6280783333
/data1/phot_cal/spitzer/ngc2420/r47021312,114.572554167 21.4750002778
/data1/phot_cal/spitzer/ngc2420/r47021312,114.602816667 21.5772380556
/data1/phot_cal/spitzer/ngc2420/r47021312,114.647841667 21.6384333333
