File# ACenX ACenY FCenX FCenY Time[MJD] Raw_Flux Bkg_Flux Res_Flux
11638016_0000 130.20411514177496 126.80802828975109 130.20538565683137 126.5251194962722 53204.9589689 17280.796760022942 217.5827314049606 17063.214028617982
11638016_0001 467.7388479173792 118.19819720061662 130.20538565683137 126.5251194962722 53204.9592097 17280.796760022942 217.5827314049606 17063.214028617982
11638016_0002 67.77698606426343 190.06490818193765 68.04320730567605 189.83821435143557 53204.9594597 17718.49870231856 206.46854093642796 17512.030161382132
11638016_0003 401.59227599869416 182.44211126168756 68.04320730567605 189.83821435143557 53204.9596819 17718.49870231856 206.46854093642796 17512.030161382132
11638016_0004 193.18956978339057 189.61381383770745 193.13645238021158 189.134013889303 53204.9598902 17704.113268275527 257.38441651547896 17446.728851760046
11638016_0005 535.6921644973448 183.5354751084939 193.13645238021158 189.134013889303 53204.9601125 17704.113268275527 257.38441651547896 17446.728851760046
11638016_0006 192.87679071023845 63.58992353052304 193.02684056768686 63.10908963773795 53204.9603579 17862.800719161227 301.4909772003336 17561.309741960893
11638016_0007 536.3613424630651 53.21689547413533 193.02684056768686 63.10908963773795 53204.96058 17862.800719161227 301.4909772003336 17561.309741960893
11638016_0008 66.78519977696072 63.943914538771764 67.05119368063828 63.48419934914124 53204.9608393 17696.81688275197 297.2552993811352 17399.561583370833
11638016_0009 401.73481262097386 54.01755401236435 67.05119368063828 63.48419934914124 53204.9610569 17696.81688275197 297.2552993811352 17399.561583370833
11638272_0000 130.1742449756782 126.88062292645697 130.2433092012593 126.76233913862796 53214.7580755 17450.643676988184 337.64976192241363 17112.99391506577
11638272_0001 468.3817741859129 118.2112285833966 130.2433092012593 126.76233913862796 53214.7583161 17450.643676988184 337.64976192241363 17112.99391506577
11638272_0002 67.7056707100148 189.57181227415927 67.91028156125648 189.37276486875712 53214.7585708 17370.223247234633 243.02601485363218 17127.197232381
11638272_0003 401.7971372694684 182.34973652777342 67.91028156125648 189.37276486875712 53214.7587929 17370.223247234633 243.02601485363218 17127.197232381
11638272_0004 193.51836033794137 189.69345421643263 193.18152509656443 189.39485827004444 53214.7590013 17517.3599217387 225.61203161832842 17291.747890120372
11638272_0005 536.0297517627855 183.62316350066334 193.18152509656443 189.39485827004444 53214.759219 17517.3599217387 225.61203161832842 17291.747890120372
11638272_0006 193.33894400867808 63.89493362570272 193.03599675304517 63.576904015594025 53214.7594642 17635.674775073494 288.4803619175524 17347.194413155943
11638272_0007 536.7907273627927 53.06240049376561 193.03599675304517 63.576904015594025 53214.7596912 17635.674775073494 288.4803619175524 17347.194413155943
11638272_0008 66.85192524679746 63.888526129813584 67.03757051453348 63.84396682028991 53214.7599457 17798.339523017486 254.27335305243162 17544.066169965055
11638272_0009 401.940847009004 54.02204922254576 67.03757051453348 63.84396682028991 53214.7601633 17798.339523017486 254.27335305243162 17544.066169965055
11679488_0000 129.93823812517152 126.7733067043836 130.5383223116025 126.04557450503088 53174.0904446 17351.85402139149 236.69516087280016 17115.158860518688
11679488_0001 468.5344143200393 118.62311716337149 130.5383223116025 126.04557450503088 53174.09069 17351.85402139149 236.69516087280016 17115.158860518688
11679488_0002 67.95906917141765 189.3784933980487 68.16636534699772 189.00636520850387 53174.0909399 17819.148408979185 231.4023047375046 17587.74610424168
11679488_0003 401.6593849497117 182.30852702726526 68.16636534699772 189.00636520850387 53174.0911622 17819.148408979185 231.4023047375046 17587.74610424168
11679488_0004 193.10989470675253 189.58131247668973 193.63498627385158 188.95041481394574 53174.0913705 17048.704050031047 247.323723906232 16801.380326124814
11679488_0005 536.3060631536068 183.63786812841542 193.63498627385158 188.95041481394574 53174.0915927 17048.704050031047 247.323723906232 16801.380326124814
11679488_0006 192.86469456071956 63.76449267275444 193.30309925967234 62.91024185585484 53174.091838 17622.80119039557 281.8325276392018 17340.968662756368
11679488_0007 536.9247773856674 53.53590681488221 193.30309925967234 62.91024185585484 53174.0920602 17622.80119039557 281.8325276392018 17340.968662756368
11679488_0008 66.78598384495831 64.2664164573771 67.34304670267888 63.115001315955254 53174.0923195 17741.722355830538 265.4884855628725 17476.233870267664
11679488_0009 401.8357230225623 54.39384122643432 67.34304670267888 63.115001315955254 53174.0925417 17741.722355830538 265.4884855628725 17476.233870267664
11849216_0000 130.20611006771648 126.91666637161705 130.58620508585088 126.47257314955162 53228.9307495 16971.95441377555 187.23975416454658 16784.714659611003
11849216_0001 468.0419437946215 118.31612244139586 130.58620508585088 126.47257314955162 53228.9309903 16971.95441377555 187.23975416454658 16784.714659611003
11849216_0002 67.17584836920162 189.4497187283451 68.1300770609366 189.14913635087967 53228.9312403 17654.947623356486 180.41108444522527 17474.53653891126
11849216_0003 401.9229093249721 182.25887437394 68.1300770609366 189.14913635087967 53228.9314625 17654.947623356486 180.41108444522527 17474.53653891126
11849216_0004 193.59346379952865 189.64585195028076 193.37819726782953 189.17162081890473 53228.9316708 17282.86239530761 250.92155411052784 17031.94084119708
11849216_0005 535.1087608475834 183.66947610191303 193.37819726782953 189.17162081890473 53228.931893 17282.86239530761 250.92155411052784 17031.94084119708
11849216_0006 193.39526038549462 63.66326245887707 193.19039340094588 63.283801117275445 53228.9321384 17836.85597147981 281.7282526104515 17555.12771886936
11849216_0007 535.804865526925 53.08165899423636 193.19039340094588 63.283801117275445 53228.932356 17836.85597147981 281.7282526104515 17555.12771886936
11849216_0008 66.40929546930907 64.10809161208765 67.23552292335704 63.70766485583736 53228.9326153 17499.786707242947 231.57331163804795 17268.2133956049
11849216_0009 402.0857335959237 54.015050778878084 67.23552292335704 63.70766485583736 53228.9328329 17499.786707242947 231.57331163804795 17268.2133956049
11849984_0000 130.18764404375273 126.94320760797326 130.19181022209938 126.88066288772485 53235.7866084 17794.89941955346 269.5925584563307 17525.30686109713
11849984_0001 468.292968514644 118.35328639718303 130.19181022209938 126.88066288772485 53235.7868537 17794.89941955346 269.5925584563307 17525.30686109713
11849984_0002 67.79790377920172 189.71146332741458 67.76773185357253 189.6532894127333 53235.7871037 17092.863171643254 234.47052309011653 16858.392648553137
11849984_0003 401.44156020163916 182.40421417432322 67.76773185357253 189.6532894127333 53235.7873259 17092.863171643254 234.47052309011653 16858.392648553137
11849984_0004 193.00336870395972 189.79187456821091 193.08010640538663 189.64010385199828 53235.7875343 17484.47590630856 243.91899361572072 17240.55691269284
11849984_0005 535.9586872658856 183.7818276258164 193.08010640538663 189.64010385199828 53235.7877565 17484.47590630856 243.91899361572072 17240.55691269284
11849984_0006 192.92042629083195 63.67050666839501 192.88486671989904 63.66809825496119 53235.7880019 17520.68067548085 261.3711872571715 17259.309488223676
11849984_0007 536.7127899755556 52.88106023693404 192.88486671989904 63.66809825496119 53235.7882241 17520.68067548085 261.3711872571715 17259.309488223676
11849984_0008 66.9682720364591 63.7377113486542 66.90070796221484 63.90599579773854 53235.7884833 17717.239484864356 225.60821241611714 17491.631272448238
11849984_0009 401.534875312307 53.96919163354353 66.90070796221484 63.90599579773854 53235.7887055 17717.239484864356 225.60821241611714 17491.631272448238
11948800_0000 130.18847266101633 126.98269191050112 130.36126468055545 126.13259370021912 53250.4554133 17381.436040980905 228.106971274619 17153.329069706288
11948800_0001 467.82348204163077 118.02671479581001 130.36126468055545 126.13259370021912 53250.4556587 17381.436040980905 228.106971274619 17153.329069706288
11948800_0002 67.3124170219454 189.47319813348722 67.94360041926242 188.88504244520277 53250.4559133 17620.81008139387 171.64102969299066 17449.16905170088
11948800_0003 401.4122935529715 182.272957187188 67.94360041926242 188.88504244520277 53250.4561355 17620.81008139387 171.64102969299066 17449.16905170088
11948800_0004 193.28312221816455 189.1633014175077 193.18589322602014 188.76144463796382 53250.4563438 17234.42190340058 196.06449255366294 17038.35741084692
11948800_0005 535.2724917018882 183.49834355292958 193.18589322602014 188.76144463796382 53250.4565707 17234.42190340058 196.06449255366294 17038.35741084692
11948800_0006 192.83702873379104 63.22307013272821 193.03726887580126 62.71390269666449 53250.456816 17609.2355746134 329.51971909544477 17279.715855517956
11948800_0007 535.9702926433192 52.48573464585571 193.03726887580126 62.71390269666449 53250.4570382 17609.2355746134 329.51971909544477 17279.715855517956
11948800_0008 66.59725941203031 63.27969936622604 67.02546859442502 62.88887644999083 53250.4572975 17968.983383839517 255.6915206638145 17713.291863175702
11948800_0009 401.2656507917014 53.176095241639516 67.02546859442502 62.88887644999083 53250.4575198 17968.983383839517 255.6915206638145 17713.291863175702
11949056_0000 130.10224885157973 127.00125147513924 130.16370190206737 126.80744225505889 53261.7273266 17558.868535800473 226.55853534797726 17332.310000452497
11949056_0001 468.15275420843517 118.5320607548547 130.16370190206737 126.80744225505889 53261.7275718 17558.868535800473 226.55853534797726 17332.310000452497
11949056_0002 67.85300035184103 189.99820151171906 67.73207562518373 189.5866637233994 53261.7278219 17204.06237757912 216.6777332284114 16987.38464435071
11949056_0003 401.3883426652164 182.6247423847949 67.73207562518373 189.5866637233994 53261.7280442 17204.06237757912 216.6777332284114 16987.38464435071
11949056_0004 192.87891144553052 190.09230157834804 193.09767759753802 189.61695560454632 53261.728257 17555.001838112057 257.0063596539695 17297.995478458088
11949056_0005 535.8663089002822 184.0320471343328 193.09767759753802 189.61695560454632 53261.7284794 17555.001838112057 257.0063596539695 17297.995478458088
11949056_0006 192.75137036914106 63.6576665979662 192.97216548383795 63.53745531798804 53261.7287247 17495.987736985004 271.7524531813943 17224.23528380361
11949056_0007 536.5759995839816 53.070784565065026 192.97216548383795 63.53745531798804 53261.7289468 17495.987736985004 271.7524531813943 17224.23528380361
11949056_0008 67.00989380884586 63.794359345490165 66.99977957507055 63.8451983204634 53261.7292061 17793.10753955636 220.26041449728547 17572.847125059074
11949056_0009 401.2818576613048 53.80518434757582 66.99977957507055 63.8451983204634 53261.7294283 17793.10753955636 220.26041449728547 17572.847125059074
12164864_0000 130.11025915111017 127.00741853591191 130.29479878468703 126.73777890101675 53282.8889169 17237.04276521811 253.47388181930987 16983.5688833988
12164864_0001 467.8900900233655 118.81075701703355 130.29479878468703 126.73777890101675 53282.8891621 17237.04276521811 253.47388181930987 16983.5688833988
12164864_0002 67.71117353732171 189.49214766539518 68.08892157459316 189.29019106019058 53282.8894168 17452.62698960027 209.42125882697664 17243.205730773294
12164864_0003 401.7166742165592 182.56538964892175 68.08892157459316 189.29019106019058 53282.8896345 17452.62698960027 209.42125882697664 17243.205730773294
12164864_0004 193.53653443217172 189.27239593441024 193.53303914818727 189.21049069944368 53282.8898473 17207.747949009397 266.69927610659084 16941.048672902805
12164864_0005 535.9703958766266 184.0850391238648 193.53303914818727 189.21049069944368 53282.8900696 17207.747949009397 266.69927610659084 16941.048672902805
12164864_0006 193.3730011561193 63.837572322577074 193.2582891451033 63.35195431692856 53282.890315 17430.789134010316 255.74273324239832 17175.04640076792
12164864_0007 536.6403395651657 53.294904376015445 193.2582891451033 63.35195431692856 53282.8905371 17430.789134010316 255.74273324239832 17175.04640076792
12164864_0008 67.0778466360707 64.21937823481356 67.27659980803459 63.858653194311785 53282.8907965 17567.357082304632 230.91797893589174 17336.43910336874
12164864_0009 401.9275630115143 54.25418251945354 67.27659980803459 63.858653194311785 53282.8910186 17567.357082304632 230.91797893589174 17336.43910336874
12165120_0000 130.09025908112866 127.07004858713643 130.06666645280876 127.02644760320518 53290.1790693 17796.7004954944 253.62495484189822 17543.0755406525
12165120_0001 467.8947729031281 118.36054279300139 130.06666645280876 127.02644760320518 53290.1793193 17796.7004954944 253.62495484189822 17543.0755406525
12165120_0002 68.05731334048131 189.40886302497972 68.14579659237893 189.0878833971121 53290.179574 17963.96013294781 159.07882190735728 17804.88131104045
12165120_0003 401.3502230222564 182.1340944839085 68.14579659237893 189.0878833971121 53290.1797961 17963.96013294781 159.07882190735728 17804.88131104045
12165120_0004 193.47322643902956 189.41232978243093 193.3529987104972 189.08818214327354 53290.1800045 17286.710150209983 256.9973523050362 17029.712797904947
12165120_0005 535.5947775811338 183.6398286942926 193.3529987104972 189.08818214327354 53290.1802267 17286.710150209983 256.9973523050362 17029.712797904947
12165120_0006 193.12698443228712 62.93889204090924 193.17699908875719 63.08960369592169 53290.1804767 18084.01530847212 246.07647706906204 17837.93883140306
12165120_0007 536.4910348744179 52.75263889264768 193.17699908875719 63.08960369592169 53290.1807036 18084.01530847212 246.07647706906204 17837.93883140306
12165120_0008 67.23288641979629 63.16142681051417 67.23642703114174 63.20646894061945 53290.1809628 17819.49400456048 282.25903822654004 17537.23496633394
12165120_0009 401.4808674851259 53.69823538447648 67.23642703114174 63.20646894061945 53290.181185 17819.49400456048 282.25903822654004 17537.23496633394
12272640_0000 130.03454554510105 127.06362515606352 130.18157177422094 126.88316266516885 53305.0441708 17707.839965302242 236.97617046463375 17470.86379483761
12272640_0001 467.8930960738739 118.56974349528669 130.18157177422094 126.88316266516885 53305.0444209 17707.839965302242 236.97617046463375 17470.86379483761
12272640_0002 67.5070207396494 189.6256726720699 67.93416709808525 189.28412247150632 53305.0446754 17335.92727050172 226.48154590278332 17109.445724598936
12272640_0003 401.44834195082 182.36224729824895 67.93416709808525 189.28412247150632 53305.0448976 17335.92727050172 226.48154590278332 17109.445724598936
12272640_0004 193.08631620904978 189.4077477731677 193.26394331997236 189.23780028204396 53305.045106 17314.871094068105 315.22678950768795 16999.644304560417
12272640_0005 535.8400884022687 183.5689634141301 193.26394331997236 189.23780028204396 53305.0453328 17314.871094068105 315.22678950768795 16999.644304560417
12272640_0006 192.82115464518438 63.52373284132378 193.15620205658934 63.204696572199836 53305.0455782 17984.009058148647 286.11676464801417 17697.892293500634
12272640_0007 536.4629813638117 53.259895901052346 193.15620205658934 63.204696572199836 53305.0458052 17984.009058148647 286.11676464801417 17697.892293500634
12272640_0008 67.11321909284182 63.566739455025356 67.20952240128055 63.614082578202186 53305.0460597 17525.93461821446 274.12020501999154 17251.814413194472
12272640_0009 401.5508046636412 54.082779326031954 67.20952240128055 63.614082578202186 53305.0462866 17525.93461821446 274.12020501999154 17251.814413194472
12272896_0000 130.02970968139306 127.06229961342476 130.13816082797928 127.14823517064409 53310.5664334 17757.556557121537 241.34431523217404 17516.212241889363
12272896_0001 467.9201758628651 118.79321431299675 130.13816082797928 127.14823517064409 53310.5666834 17757.556557121537 241.34431523217404 17516.212241889363
12272896_0002 67.3757724549543 189.78357656471604 67.5118796152932 189.94093781025083 53310.566938 17598.566338280747 266.03045893579423 17332.535879344952
12272896_0003 401.19784874023395 182.48574616580942 67.5118796152932 189.94093781025083 53310.5671601 17598.566338280747 266.03045893579423 17332.535879344952
12272896_0004 192.91268337068308 189.7407395070181 193.09897483697182 189.8349709581696 53310.5673731 17621.16271050617 254.92875430950104 17366.23395619667
12272896_0005 536.0941196640008 183.82985090592166 193.09897483697182 189.8349709581696 53310.5675954 17621.16271050617 254.92875430950104 17366.23395619667
12272896_0006 192.63930786844037 63.866494228287124 192.9267990338253 63.914787979529756 53310.56785 17821.4788018816 317.65529354080167 17503.8235083408
12272896_0007 536.5607494461559 53.490851630080364 192.9267990338253 63.914787979529756 53310.5680676 17821.4788018816 317.65529354080167 17503.8235083408
12272896_0008 67.00928085288415 64.20362514391304 67.03079610029582 64.02507791298183 53310.5683269 17925.17447723337 254.58207077553075 17670.59240645784
12272896_0009 401.2203546088322 54.1714398165495 67.03079610029582 64.02507791298183 53310.568549 17925.17447723337 254.58207077553075 17670.59240645784
