AOR Filepath,Target Coordinates
/data1/phot_cal/spitzer/michaela/r40398848,20 29 34.8651841062 +62 59 38.621587534
/data1/phot_cal/spitzer/michaela/r40399104,08 54 51.2042570043 -63 42 06.989698801
/data1/phot_cal/spitzer/michaela/r40399360,06 17 16.1298959119 +05 05 59.915616770
/data1/phot_cal/spitzer/michaela/r40399616,14 53 41.5724163105 +23 20 42.804733565
/data1/phot_cal/spitzer/michaela/r40399872,04 30 33.6330527888 +16 11 38.462112418
/data1/phot_cal/spitzer/michaela/r40400128,21 45 21.9056012837 -12 47 00.068065895
/data1/phot_cal/spitzer/michaela/r40400384,06 29 49.06454 -50 14 20.6831
/data1/phot_cal/spitzer/michaela/r40400640,19 32 30.2696891082 -35 27 06.210642957
/data1/phot_cal/spitzer/michaela/r40400896,13 05 41.4079243751 +49 28 18.965241178
/data1/phot_cal/spitzer/michaela/r40401152,03 54 35.4661415347 -06 49 33.653151072
/data1/phot_cal/spitzer/michaela/r40401408,06 12 00.5668246170 +06 46 59.057316892
/data1/phot_cal/spitzer/michaela/r40401664,02 36 41.7627671820 -03 09 22.095120628
/data1/phot_cal/spitzer/michaela/r40401920,13 41 04.1709260655 -34 27 50.969342363
/data1/phot_cal/spitzer/michaela/r40402176,08 16 26.47103 -03 13 33.9209
/data1/phot_cal/spitzer/michaela/r40402432,20 21 10.9022661082 -51 47 27.907601777
/data1/phot_cal/spitzer/michaela/r40402688,14 52 53.4612990287 +32 41 27.270563490
/data1/phot_cal/spitzer/michaela/r40402944,17 12 55.0950101921 +42 19 54.587744987
/data1/phot_cal/spitzer/michaela/r40403200,09 17 17.2650785311 -68 41 22.679404054
/data1/phot_cal/spitzer/michaela/r40403456,01 21 59.1132210377 +76 42 37.037320840
/data1/phot_cal/spitzer/michaela/r40403712,08 54 17.9469808897 -05 26 04.046487788
/data1/phot_cal/spitzer/michaela/r40403968,00 05 41.0028191882 +45 48 37.353508088
/data1/phot_cal/spitzer/michaela/r40404224,01 06 26.1533019474 -14 17 47.106147991
/data1/phot_cal/spitzer/michaela/r40404480,07 56 17.2280848677 +80 15 55.954609278
/data1/phot_cal/spitzer/michaela/r40404736,00 05 41.0218876465 +45 48 43.545210886
/data1/phot_cal/spitzer/michaela/r40404992,01 07 37.87246 +22 57 17.9163
/data1/phot_cal/spitzer/michaela/r40405248,05 24 28.4872783247 -16 58 32.789078380
/data1/phot_cal/spitzer/michaela/r40405504,02 39 47.9654399769 -42 53 30.363788605
/data1/phot_cal/spitzer/michaela/r40405760,00 40 25.6702570458 -59 27 16.565812842
/data1/phot_cal/spitzer/michaela/r40406016,04 43 17.2029571220 -23 37 42.250373187
/data1/phot_cal/spitzer/michaela/r40406272,13 41 13.5421790721 -46 01 41.901667038
/data1/phot_cal/spitzer/michaela/r40406528,04 20 25.1020466053 +18 44 33.646055934
/data1/phot_cal/spitzer/michaela/r40406784,16 25 24.1681736016 +37 23 38.579755312
/data1/phot_cal/spitzer/michaela/r40407040,11 31 13.0919586461 +63 09 27.124675008
/data1/phot_cal/spitzer/michaela/r40407296,16 45 17.8812116356 +56 46 54.798458094
/data1/phot_cal/spitzer/michaela/r40407552,22 30 38.8228563358 -10 40 40.703057658
/data1/phot_cal/spitzer/michaela/r40407808,17 34 59.59363 +61 52 28.4006
/data1/phot_cal/spitzer/michaela/r40408064,02 57 13.2012231419 -24 58 30.290781613
/data1/phot_cal/spitzer/michaela/r40408320,03 39 43.0960508327 -52 54 57.016146971
/data1/phot_cal/spitzer/michaela/r40408576,10 42 13.3208450312 -13 47 15.767668830
/data1/phot_cal/spitzer/michaela/r40408832,15 44 01.8189306784 +02 30 54.600773948
/data1/phot_cal/spitzer/michaela/r40409088,20 50 33.0759169392 +52 53 58.542039169
/data1/phot_cal/spitzer/michaela/r40409344,03 54 28.03346 +16 36 57.7951
/data1/phot_cal/spitzer/michaela/r40409600,06 08 57.9039737933 +02 29 58.887793999
/data1/phot_cal/spitzer/michaela/r40409856,14 23 15.2847534665 +01 14 29.641784590
