AOR Filepath,Target Coordinates
/data1/phot_cal/spitzer/taurus/r3963904,04 46 42.3 +24 58 58
/data1/phot_cal/spitzer/taurus/r3963904,04 46 46.6 +24 52 21
/data1/phot_cal/spitzer/taurus/r3963904,04 44 31.0 +25 12 21
/data1/phot_cal/spitzer/taurus/r3963904,04 44 34.9 +25 05 50
/data1/phot_cal/spitzer/taurus/r3963904,04 43 03.4 +25 20 10
/data1/phot_cal/spitzer/taurus/r3963904,04 43 07.2 +25 13 44
/data1/phot_cal/spitzer/taurus/r3963904,04 42 38.0 +25 15 29
/data1/phot_cal/spitzer/taurus/r3963904,04 42 41.4 +25 08 54
/data1/phot_cal/spitzer/taurus/r3963904,04 42 21.5 +25 20 26
/data1/phot_cal/spitzer/taurus/r3963904,04 42 24.8 +25 13 53
/data1/phot_cal/spitzer/taurus/r3963904,04 42 07.6 +25 22 53
/data1/phot_cal/spitzer/taurus/r3963904,04 42 11.2 +25 16 21
/data1/phot_cal/spitzer/taurus/r3963904,04 41 04.5 +24 51 02
/data1/phot_cal/spitzer/taurus/r3963904,04 41 08.7 +24 44 22
/data1/phot_cal/spitzer/taurus/r3963904,04 41 39.7 +25 56 17
/data1/phot_cal/spitzer/taurus/r3963904,04 41 42.4 +25 49 48
/data1/phot_cal/spitzer/taurus/r3963904,04 41 12.8 +25 46 38
/data1/phot_cal/spitzer/taurus/r3963904,04 41 17.0 +25 39 51
/data1/phot_cal/spitzer/taurus/r3963904,04 40 50.0 +25 51 18
/data1/phot_cal/spitzer/taurus/r3963904,04 40 53.4 +25 44 36
/data1/phot_cal/spitzer/taurus/r3965440,04 47 49.0 +29 25 09
/data1/phot_cal/spitzer/taurus/r3965440,04 47 51.2 +29 18 26
/data1/phot_cal/spitzer/taurus/r3965440,04 43 20.4 +29 40 08
/data1/phot_cal/spitzer/taurus/r3965440,04 43 23.6 +29 33 19
/data1/phot_cal/spitzer/taurus/r3965440,04 41 17.7 +28 39 50
/data1/phot_cal/spitzer/taurus/r3965440,04 41 19.7 +28 33 18
/data1/phot_cal/spitzer/taurus/r3967488,04 14 47.7 +26 47 22
/data1/phot_cal/spitzer/taurus/r3967488,04 14 53.2 +26 40 38
/data1/phot_cal/spitzer/taurus/r3967232,04 04 39.4 +21 58 22
/data1/phot_cal/spitzer/taurus/r3967232,04 04 45.9 +21 51 41
/data1/phot_cal/spitzer/taurus/r3966464,05 07 49.7 +30 24 07
/data1/phot_cal/spitzer/taurus/r3966464,05 07 51.3 +30 17 17
/data1/phot_cal/spitzer/taurus/r3964928,05 07 55.1 +25 00 03
/data1/phot_cal/spitzer/taurus/r3964928,05 07 57.7 +24 53 31
/data1/phot_cal/spitzer/taurus/r3964928,05 07 12.4 +24 37 08
