AOR Filepath,Target Coordinates
/data1/phot_cal/spitzer/upperSco/r13856000/ch2/bcd/*_sub2d.fits,241.359375 -19.805167
/data1/phot_cal/spitzer/upperSco/r13857024/ch2/bcd/*_sub2d.fits,242.998917 -19.460583
/data1/phot_cal/spitzer/upperSco/r13858048/ch2/bcd/*_sub2d.fits,237.744792 -25.751278
/data1/phot_cal/spitzer/upperSco/r13858560/ch2/bcd/*_sub2d.fits,238.474667 -24.533111
/data1/phot_cal/spitzer/upperSco/r13860352/ch2/bcd/*_sub2d.fits,238.673333 -22.76625
/data1/phot_cal/spitzer/upperSco/r13861376/ch2/bcd/*_sub2d.fits,240.481125 -21.980444
/data1/phot_cal/spitzer/upperSco/r13867776/ch2/bcd/*_sub2d.fits,239.622125 -21.401111
/data1/phot_cal/spitzer/upperSco/r13868800/ch2/bcd/*_sub2d.fits,237.499167 -25.150944
/data1/phot_cal/spitzer/upperSco/r13869824/ch2/bcd/*_sub2d.fits,239.552958 -23.476778
/data1/phot_cal/spitzer/upperSco/r13870080/ch2/bcd/*_sub2d.fits,240.543542 -22.691111
/data1/phot_cal/spitzer/upperSco/r13871360/ch2/bcd/*_sub2d.fits,241.09025 -21.507889
/data1/phot_cal/spitzer/upperSco/r13872384/ch2/bcd/*_sub2d.fits,242.236375 -20.562778
/data1/phot_cal/spitzer/upperSco/r13873664/ch2/bcd/*_sub2d.fits,237.520792 -23.19825
/data1/phot_cal/spitzer/upperSco/r13875712/ch2/bcd/*_sub2d.fits,239.106833 -22.674194
/data1/phot_cal/spitzer/upperSco/r13875968/ch2/bcd/*_sub2d.fits,241.439167 -20.385778
/data1/phot_cal/spitzer/upperSco/r13877248/ch2/bcd/*_sub2d.fits,241.580667 -19.392417
/data1/phot_cal/spitzer/upperSco/r13856256/ch2/bcd/*_sub2d.fits,243.593208 -33.011056
/data1/phot_cal/spitzer/upperSco/r13856512/ch2/bcd/*_sub2d.fits,239.712958 -26.114083
/data1/phot_cal/spitzer/upperSco/r13856768/ch2/bcd/*_sub2d.fits,248.970667 -28.216028
/data1/phot_cal/spitzer/upperSco/r13857536/ch2/bcd/*_sub2d.fits,239.221125 -29.214111
/data1/phot_cal/spitzer/upperSco/r13858304/ch2/bcd/*_sub2d.fits,243.075875 -27.926389
/data1/phot_cal/spitzer/upperSco/r13858816/ch2/bcd/*_sub2d.fits,239.645292 -24.831444
